Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_calculate…(df,14)","Exit_calculate…(df,14)","Entry_find_frac…(df,5)","Exit_find_frac…(df,5)"
-5,385682,385691,16534.808654,16500.701690079997,16579.60834,16500.701690079997,137.4993092559359,33.035510344079995,0.0016631496878274754,2023-06-26 03:05:00,2023-06-26 03:50:00,0 days 00:45:00,,17.04987992857163,15.439177071428535,,16498.508909
5,387294,387300,16888.181167,16881.056216,16881.056216,16899.769638793994,-69.39399238298982,33.769237383000004,-0.0008218053998447727,2023-07-04 03:10:00,2023-07-04 03:40:00,0 days 00:30:00,,4.65532435714236,5.008893357142109,,
5,387531,387534,16825.20661,16815.881674,16815.881674,16845.940417719994,-80.26576828400445,33.641088284000006,-0.0009541133151529648,2023-07-05 03:55:00,2023-07-05 04:10:00,0 days 00:15:00,,8.917794499999218,8.799938142857043,,
-5,388073,388081,16706.957442,16729.757284,16729.757284,16688.353219354005,-147.43592472600176,33.436714726,-0.0017649643896903375,2023-07-07 03:05:00,2023-07-07 03:45:00,0 days 00:40:00,,12.983837500000195,11.058850928571701,,
5,389464,389473,17280.878404,17270.453476,17270.453476,17299.881924303998,-86.67597188000181,34.55133188,-0.0010031431256403555,2023-07-14 04:00:00,2023-07-14 04:45:00,0 days 00:45:00,,9.09457885714333,5.9321010714291855,,
5,390014,390035,17410.127495,17398.052578,17398.052578,17430.317355676,-95.18276507300867,34.808180073,-0.001093418357795974,2023-07-18 03:50:00,2023-07-18 05:35:00,0 days 01:45:00,,8.407083714285752,5.166035071428269,17399.127572,
5,392217,392251,17224.503801,17282.840844137998,17192.904021,17282.840844137998,257.17787104485694,34.507344645138005,0.002986186122005132,2023-07-28 03:25:00,2023-07-28 06:15:00,0 days 02:50:00,,14.1231147857148,10.88206621428617,17215.703863,
-5,393321,393329,16934.930838,16951.405724,16951.405724,16861.468902007997,-116.26076656199984,33.886336562,-0.0013730291274780737,2023-08-03 03:25:00,2023-08-03 04:05:00,0 days 00:40:00,,20.192715071428342,19.210579214285513,,
-5,394426,394456,16956.655685,16916.828212268003,16975.880552,16916.828212268003,165.26387976272483,33.87348389726801,0.001949250876267006,2023-08-09 03:30:00,2023-08-09 06:00:00,0 days 02:30:00,,9.664217785715143,9.29100599999973,,
5,397457,397469,16951.70572,16903.606057,16903.606057,16968.331056622,-274.35362677700437,33.855311777000004,-0.003236885199739076,2023-08-24 03:05:00,2023-08-24 04:05:00,0 days 01:00:00,,18.640940214285624,13.690975214285052,,
5,398849,398849,17038.880107,17031.755155,17031.755155,17074.10466277,-69.6953952620097,34.070635261999996,-0.0008180748361903787,2023-08-31 04:05:00,2023-08-31 04:05:00,0 days 00:00:00,,10.862423714285407,10.862423714285407,,
5,399398,399414,17110.104606,17124.232409618002,17096.379701,17124.232409618002,36.404681074387256,34.23433701561801,0.00042553428997302295,2023-09-04 03:50:00,2023-09-04 05:10:00,0 days 01:20:00,,6.069600142856351,5.460675928570969,17104.604644,
5,400722,400731,16915.772026,16899.230753,16899.230753,16948.211067193995,-116.52136777899455,33.815002779,-0.0013776653835236947,2023-09-11 03:10:00,2023-09-11 03:55:00,0 days 00:45:00,,10.783271428571036,10.89963764285702,16910.341602,16898.937711
-5,402653,402656,16689.323329,16715.096323,16715.096323,16682.296501989997,-162.26938965201327,33.404419652,-0.0019445892017688955,2023-09-20 03:05:00,2023-09-20 03:20:00,0 days 00:15:00,,10.007496357142893,10.434172571428592,,
-5,403207,403223,16195.69775,16212.782066,16212.782066,16165.668731347998,-117.83005981600199,32.408479815999996,-0.0014550785231343968,2023-09-22 03:15:00,2023-09-22 04:35:00,0 days 01:20:00,,14.022131714285674,10.143256928571386,,
5,404861,404863,16289.644092,16258.169152,16258.169152,16309.638773014003,-189.9225132440003,32.547813244,-0.0023318190645708345,2023-10-02 03:05:00,2023-10-02 03:15:00,0 days 00:10:00,,13.925159714285915,13.653638571428798,,
5,405137,405137,16296.703644,16300.309846766,16255.996982,16300.309846766,-14.565999660761335,32.597013490766,-0.00017876007294433344,2023-10-03 03:05:00,2023-10-03 03:05:00,0 days 00:00:00,,15.418526499999903,15.418526499999903,,
5,405699,405700,16154.155003,16148.474579,16148.474579,16180.963236943999,-60.704749582000645,32.302629581999994,-0.000751568244463801,2023-10-05 03:55:00,2023-10-05 04:00:00,0 days 00:05:00,,14.817300928571447,14.875484071428607,,
5,405971,405989,16143.837197,16179.811987948002,16128.65353,16179.811987948002,147.5503055550575,32.323649184948,0.0018279459059766954,2023-10-06 03:35:00,2023-10-06 05:05:00,0 days 01:30:00,,12.955440999999935,9.910524642857126,16140.0359,
5,406242,406251,16283.942147,16315.233739032,16260.341322,16315.233739032,123.85878427397331,32.599175886032,0.001521238323691622,2023-10-09 03:10:00,2023-10-09 03:55:00,0 days 00:45:00,,19.278006571428314,15.690047785714341,,
5,406793,406795,16621.171502,16601.915017,16601.915017,16640.938105060006,-129.5055115190085,33.223086519000006,-0.0015583198994538936,2023-10-11 03:05:00,2023-10-11 03:15:00,0 days 00:10:00,,14.371230214286177,14.506990857143267,,
-5,408454,408469,16285.842795,16328.450106,16328.450106,16206.968737836001,-245.65084790099877,32.614292901,-0.0030167409939190946,2023-10-19 03:30:00,2023-10-19 04:45:00,0 days 01:15:00,,19.219823714285535,13.168778928571426,,
-5,409553,409557,16005.632896,16034.935666,16034.935666,15971.019513178002,-178.5544185620012,32.040568562,-0.002231144744130978,2023-10-25 03:05:00,2023-10-25 03:25:00,0 days 00:20:00,,14.313047071428368,13.963948285714261,,
5,411765,411773,16512.834535,16533.619886290002,16490.862838,16533.619886290002,70.88030202871053,33.04645442129001,0.0008584874011601977,2023-11-06 03:25:00,2023-11-06 04:05:00,0 days 00:40:00,,9.929918857142964,9.19293278571474,,
5,412041,412067,16508.218675,16491.948923,16491.948923,16545.285523556002,-114.34892759800077,33.000167598000004,-0.0013853575585495716,2023-11-07 03:25:00,2023-11-07 05:35:00,0 days 02:10:00,,9.095960928571783,8.009876000000597,,16482.424159
4,413696,413725,17307.848669,17348.237308491996,17285.876971,17348.237308491996,133.82968918599565,27.7248687819936,0.0019330780466334432,2023-11-15 03:20:00,2023-11-15 05:45:00,0 days 02:25:00,,9.794158214285355,6.846213642857298,,
4,414250,414276,17266.577443,17248.407043,17248.407043,17287.430131060006,-100.29358758879624,27.611987588799998,-0.0014521347371806387,2023-11-17 03:30:00,2023-11-17 05:40:00,0 days 02:10:00,,10.104468285714704,8.106847785713919,,17247.842479
4,414798,414806,17462.887285,17455.577734,17455.577734,17479.664982286,-57.172976015208405,27.9347720152,-0.0008184925992209349,2023-11-21 03:10:00,2023-11-21 03:50:00,0 days 00:40:00,,8.766256500000443,8.087453500000786,,
4,415073,415081,17341.245779,17362.833745928005,17324.432984,17362.833745928005,58.58860409207311,27.763263619942407,0.0008446423751606236,2023-11-22 03:05:00,2023-11-22 03:45:00,0 days 00:40:00,,10.356595214285855,9.251115857143045,,
-4,420777,420778,18090.745449,18099.035542,18099.035542,18070.336570828,-62.11219679281301,28.9518247928,-0.000858342141951922,2023-12-21 03:10:00,2023-12-21 03:15:00,0 days 00:05:00,,9.207820857142517,9.073819357142513,,
-4,422987,423015,17770.213738,17730.723575212003,17778.771835,17730.723575212003,129.55990130141183,28.400749850569603,0.0018227116343620705,2024-01-04 03:20:00,2024-01-04 05:40:00,0 days 02:20:00,,11.332702500000389,8.518669999999995,,
4,424366,424369,18248.331274,18229.857063,18229.857063,18282.819426942002,-103.0793946696026,29.1825506696,-0.0014121756274842175,2024-01-11 03:15:00,2024-01-11 03:30:00,0 days 00:15:00,,10.203261071429162,9.782113285714981,,
4,424649,424661,18160.426256,18134.983964,18134.983964,18207.909880579995,-130.80549617599888,29.036328175999998,-0.0018006941898291583,2024-01-12 03:50:00,2024-01-12 04:50:00,0 days 01:00:00,,15.180461285713786,11.677278000000245,,
-4,425424,425426,18062.069117,18076.791285,18076.791285,18033.96426195,-87.79976032160096,28.911088321599998,-0.0012152505860881168,2024-01-17 03:25:00,2024-01-17 03:35:00,0 days 00:10:00,,14.070162785714274,14.185021357143082,,
4,425696,425701,18125.049847,18140.630916714003,18099.339552,18140.630916714003,33.31173424504526,29.0125446109712,0.0004594709328559702,2024-01-18 03:05:00,2024-01-18 03:30:00,0 days 00:25:00,,14.855029000000286,12.51957335714282,,
4,426253,426261,18792.10957,18809.726928070002,18779.79943,18809.726928070002,40.38796308155,30.081469198456006,0.0005372994837422635,2024-01-22 03:30:00,2024-01-22 04:10:00,0 days 00:40:00,,10.452121142856413,10.31811964285693,,
4,427071,427106,18893.414742,18935.324973608,18870.384479,18935.324973608,137.37793465950907,30.2629917724864,0.0018178018179280248,2024-01-25 03:10:00,2024-01-25 06:05:00,0 days 02:55:00,,13.055579571429137,10.107545714286191,,
-4,427346,427349,18730.736859,18756.98316,18756.98316,18718.455978228005,-134.9753800151969,29.9901760152,-0.0018015225592999922,2024-01-26 03:05:00,2024-01-26 03:20:00,0 days 00:15:00,,12.213284500000166,12.232427500000215,18726.180806,
