year,timeframe,rr_ratio,direction,body_size_points,candle_high,candle_low,outcome
2018,5m,4.0,bullish,23.723767000000407,7618.550981,7581.94023,loss
2018,5m,4.5,bullish,23.723767000000407,7618.550981,7581.94023,loss
2018,5m,5.0,bullish,23.723767000000407,7618.550981,7581.94023,loss
2018,5m,10.0,bullish,23.723767000000407,7618.550981,7581.94023,loss
2018,5m,1.5,bullish,9.66523799999959,7623.237158,7590.141038,loss
2018,5m,2.0,bullish,9.66523799999959,7623.237158,7590.141038,loss
2018,5m,2.5,bullish,9.66523799999959,7623.237158,7590.141038,loss
2018,5m,3.0,bullish,9.66523799999959,7623.237158,7590.141038,loss
2018,5m,3.5,bullish,9.66523799999959,7623.237158,7590.141038,loss
2018,5m,4.0,bullish,9.66523799999959,7623.237158,7590.141038,loss
2018,5m,4.5,bullish,9.66523799999959,7623.237158,7590.141038,loss
2018,5m,5.0,bullish,9.66523799999959,7623.237158,7590.141038,loss
2018,5m,10.0,bullish,9.66523799999959,7623.237158,7590.141038,loss
2018,5m,1.5,bullish,19.037591000000248,7671.270464,7634.07394,win
2018,5m,2.0,bullish,19.037591000000248,7671.270464,7634.07394,win
2018,5m,2.5,bullish,19.037591000000248,7671.270464,7634.07394,win
2018,5m,3.0,bullish,19.037591000000248,7671.270464,7634.07394,win
2018,5m,3.5,bullish,19.037591000000248,7671.270464,7634.07394,win
2018,5m,4.0,bullish,19.037591000000248,7671.270464,7634.07394,win
2018,5m,4.5,bullish,19.037591000000248,7671.270464,7634.07394,win
2018,5m,5.0,bullish,19.037591000000248,7671.270464,7634.07394,win
2018,5m,10.0,bullish,19.037591000000248,7671.270464,7634.07394,no_exit
2018,5m,1.5,bearish,26.066855000000032,7897.671352,7866.625435,loss
2018,5m,2.0,bearish,26.066855000000032,7897.671352,7866.625435,loss
2018,5m,2.5,bearish,26.066855000000032,7897.671352,7866.625435,loss
2018,5m,3.0,bearish,26.066855000000032,7897.671352,7866.625435,loss
2018,5m,3.5,bearish,26.066855000000032,7897.671352,7866.625435,loss
2018,5m,4.0,bearish,26.066855000000032,7897.671352,7866.625435,loss
2018,5m,4.5,bearish,26.066855000000032,7897.671352,7866.625435,loss
2018,5m,5.0,bearish,26.066855000000032,7897.671352,7866.625435,loss
2018,5m,10.0,bearish,26.066855000000032,7897.671352,7866.625435,loss
2018,5m,1.5,bullish,16.401617000000442,7964.449363,7946.29043,win
2018,5m,2.0,bullish,16.401617000000442,7964.449363,7946.29043,win
