Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,SL_Type,PnL,Result,Session,Year
2024-02-07 09:38:00,2024-02-07 09:40:00,SHORT,19123.629408,19133.277519,19133.277519,19087.984995,SL_100,-9.648110999998607,LOSS,Session_2 (08:30-11:00),2024
2024-02-08 03:08:00,2024-02-08 03:09:00,SHORT,19127.113448,19129.257472999998,19129.257472999998,19113.981296,SL_50,-2.1440249999977823,LOSS,Session_1 (02:00-05:00),2024
2024-02-08 03:08:00,2024-02-08 03:09:00,SHORT,19127.113448,19130.3294855,19130.3294855,19113.981296,SL_75,-3.2160374999984924,LOSS,Session_1 (02:00-05:00),2024
2024-02-08 03:08:00,2024-02-08 03:09:00,SHORT,19127.113448,19131.401498,19131.401498,19113.981296,SL_100,-4.2880499999992026,LOSS,Session_1 (02:00-05:00),2024
2024-02-08 03:21:00,2024-02-08 03:24:00,SHORT,19134.349532,19135.4215445,19135.4215445,19118.805352,SL_50,-1.0720125000007101,LOSS,Session_1 (02:00-05:00),2024
2024-02-08 03:21:00,2024-02-08 03:32:00,SHORT,19134.349532,19135.95755075,19135.95755075,19118.805352,SL_75,-1.6080187500010652,LOSS,Session_1 (02:00-05:00),2024
2024-02-08 03:21:00,2024-02-08 03:32:00,SHORT,19134.349532,19136.493557,19136.493557,19118.805352,SL_100,-2.1440250000014203,LOSS,Session_1 (02:00-05:00),2024
2024-02-09 02:17:00,2024-02-09 02:19:00,SHORT,19188.218156,19189.826174499998,19189.826174499998,19170.261948,SL_50,-1.6080184999991616,LOSS,Session_1 (02:00-05:00),2024
2024-02-09 02:17:00,2024-02-09 02:19:00,SHORT,19188.218156,19190.63018375,19190.63018375,19170.261948,SL_75,-2.4120277500005614,LOSS,Session_1 (02:00-05:00),2024
2024-02-09 02:17:00,2024-02-09 02:19:00,SHORT,19188.218156,19191.434193,19191.434193,19170.261948,SL_100,-3.216037000001961,LOSS,Session_1 (02:00-05:00),2024
2024-02-09 02:30:00,2024-02-09 02:31:00,SHORT,19208.586391,19212.0704315,19212.0704315,19180.446066,SL_50,-3.484040499999537,LOSS,Session_1 (02:00-05:00),2024
2024-02-09 02:30:00,2024-02-09 03:14:00,SHORT,19208.586391,19180.446066,19213.81245175,19180.446066,SL_75,28.140325000000303,WIN,Session_1 (02:00-05:00),2024
2024-02-09 02:30:00,2024-02-09 03:14:00,SHORT,19208.586391,19180.446066,19215.554472,19180.446066,SL_100,28.140325000000303,WIN,Session_1 (02:00-05:00),2024
2024-02-09 02:31:00,2024-02-09 02:32:00,SHORT,19205.638357,19209.1223975,19209.1223975,19180.446066,SL_50,-3.484040499999537,LOSS,Session_1 (02:00-05:00),2024
2024-02-09 02:31:00,2024-02-09 02:35:00,SHORT,19205.638357,19210.86441775,19210.86441775,19180.446066,SL_75,-5.226060749999306,LOSS,Session_1 (02:00-05:00),2024
2024-02-09 02:31:00,2024-02-09 02:35:00,SHORT,19205.638357,19212.606438,19212.606438,19180.446066,SL_100,-6.968080999999074,LOSS,Session_1 (02:00-05:00),2024
2024-02-09 02:36:00,2024-02-09 02:37:00,SHORT,19206.442367,19209.7924055,19209.7924055,19180.446066,SL_50,-3.3500385000006645,LOSS,Session_1 (02:00-05:00),2024
2024-02-09 02:36:00,2024-02-09 02:38:00,SHORT,19206.442367,19211.46742475,19211.46742475,19180.446066,SL_75,-5.025057750000997,LOSS,Session_1 (02:00-05:00),2024
2024-02-09 02:36:00,2024-02-09 03:14:00,SHORT,19206.442367,19180.446066,19213.142444,19180.446066,SL_100,25.99630099999922,WIN,Session_1 (02:00-05:00),2024
2024-02-09 03:35:00,2024-02-09 03:37:00,SHORT,19182.322087,19185.002118,19185.002118,19171.869966,SL_50,-2.6800309999998717,LOSS,Session_1 (02:00-05:00),2024
2024-02-09 03:35:00,2024-02-09 03:37:00,SHORT,19182.322087,19186.342133500002,19186.342133500002,19171.869966,SL_75,-4.0200465000016266,LOSS,Session_1 (02:00-05:00),2024
2024-02-09 03:35:00,2024-02-09 03:37:00,SHORT,19182.322087,19187.682149,19187.682149,19171.869966,SL_100,-5.360061999999743,LOSS,Session_1 (02:00-05:00),2024
2024-02-09 09:56:00,2024-02-09 09:57:00,SHORT,19275.587167,19279.0712075,19279.0712075,19254.950928,SL_50,-3.484040499999537,LOSS,Session_2 (08:30-11:00),2024
2024-02-09 09:56:00,2024-02-09 09:58:00,SHORT,19275.587167,19280.81322775,19280.81322775,19254.950928,SL_75,-5.226060749999306,LOSS,Session_2 (08:30-11:00),2024
2024-02-09 09:56:00,2024-02-09 09:58:00,SHORT,19275.587167,19282.555248,19282.555248,19254.950928,SL_100,-6.968080999999074,LOSS,Session_2 (08:30-11:00),2024
2024-02-09 10:37:00,2024-02-09 10:38:00,LONG,19276.65918,19273.9791485,19273.9791485,19304.263499,SL_50,-2.680031500000041,LOSS,Session_2 (08:30-11:00),2024
2024-02-09 10:37:00,2024-02-09 11:19:00,LONG,19276.65918,19272.63913275,19272.63913275,19304.263499,SL_75,-4.0200472500000615,LOSS,Session_2 (08:30-11:00),2024
2024-02-09 10:37:00,2024-02-09 11:31:00,LONG,19276.65918,19304.263499,19271.299117,19304.263499,SL_100,27.60431900000185,WIN,Session_2 (08:30-11:00),2024
2024-02-12 02:35:00,2024-02-12 03:06:00,SHORT,19350.09203,19352.370056,19352.370056,19335.083856,SL_50,-2.2780259999999544,LOSS,Session_1 (02:00-05:00),2024
2024-02-12 02:35:00,2024-02-12 03:06:00,SHORT,19350.09203,19353.509069,19353.509069,19335.083856,SL_75,-3.4170389999999315,LOSS,Session_1 (02:00-05:00),2024
