entry_datetime,exit_datetime,type,entry_price,exit_price,stop_loss,take_profit,pnl,exit_reason,bars_held
2022-09-30 03:25:00,2022-09-30 03:50:00,short,12851.446539,12871.946539,12871.946539,12811.946539,-26.0,stop_loss,5
2022-09-30 04:35:00,2022-09-30 05:00:00,short,12823.900163,12844.400163,12844.400163,12784.400163,-26.0,stop_loss,5
2022-10-03 01:20:00,2022-10-03 02:05:00,short,12488.799913,12509.299913,12509.299913,12449.299913,-26.0,stop_loss,9
2022-10-03 03:25:00,2022-10-03 03:30:00,short,12455.289888,12475.789888,12475.789888,12415.789888,-26.0,stop_loss,1
2022-10-03 04:00:00,2022-10-03 04:20:00,short,12450.746156,12471.246156,12471.246156,12411.246156,-26.0,stop_loss,4
2022-10-04 01:20:00,2022-10-04 02:05:00,long,12978.251125,13017.751125,12957.751125,13017.751125,34.0,take_profit,9
2022-10-04 02:30:00,2022-10-04 04:50:00,long,13037.319643,13076.819643,13016.819643,13076.819643,34.0,take_profit,28
2022-10-05 01:35:00,2022-10-05 01:55:00,long,13168.519911,13148.019911,13148.019911,13208.019911,-26.0,stop_loss,4
2022-10-05 02:35:00,2022-10-05 02:55:00,long,13156.024647,13135.524647,13135.524647,13195.524647,-26.0,stop_loss,4
2022-10-06 02:25:00,2022-10-06 02:30:00,long,13243.775475,13223.275475,13223.275475,13283.275475,-26.0,stop_loss,1
2022-10-07 01:00:00,2022-10-07 01:05:00,short,13066.421869,13086.921869,13086.921869,13026.921869,-26.0,stop_loss,1
2022-10-07 03:25:00,2022-10-07 03:55:00,short,13044.555158,13065.055158,13065.055158,13005.055158,-26.0,stop_loss,6
2022-10-10 01:20:00,2022-10-10 02:10:00,short,12546.732498,12567.232498,12567.232498,12507.232498,-26.0,stop_loss,10
2022-10-10 02:55:00,2022-10-10 03:15:00,short,12547.300465,12507.800465,12567.800465,12507.800465,34.0,take_profit,4
2022-10-10 03:55:00,2022-10-10 04:00:00,short,12518.050189,12538.550189,12538.550189,12478.550189,-26.0,stop_loss,1
