direction,entry_time,entry_price,stop_loss,take_profit,fvg_type,year,exit_time,exit_price,exit_reason,exit_idx,pnl
long,2018-04-10 02:00:00,7710.991331,7694.731982,7735.3803545,bearish,2018,2018-04-10 02:40:00,7694.731982,SL,18863,-16.25934899999993
long,2018-04-10 02:45:00,7706.030055,7690.646224,7729.1058015,bearish,2018,2018-04-10 02:55:00,7690.646224,SL,18866,-15.3838310000001
short,2018-04-10 03:00:00,7691.729904,7733.962996,7628.380265999999,bullish,2018,2018-04-10 13:10:00,7733.962996,SL,18989,-42.2330920000004
short,2018-04-11 02:00:00,7700.193258,7705.362695,7692.4391025,bullish,2018,2018-04-11 03:15:00,7692.4391025,TP,19144,7.754155499999797
short,2018-04-11 03:20:00,7692.021744,7704.779016,7672.885835999999,bullish,2018,2018-04-11 05:15:00,7672.885835999999,TP,19168,19.13590800000111
short,2018-04-11 05:20:00,7661.378564,7704.779016,7596.277885999998,bullish,2018,2018-04-11 08:30:00,7704.779016,SL,19207,-43.40045200000077
short,2018-04-12 02:00:00,7712.45053,7719.662846,7701.632056,bullish,2018,2018-04-12 02:25:00,7719.662846,SL,19407,-7.212316000000101
short,2018-04-12 02:30:00,7715.077089,7723.164923,7702.945338,bullish,2018,2018-04-12 02:40:00,7723.164923,SL,19410,-8.08783399999993
long,2018-04-12 02:45:00,7718.287326,7704.362695,7739.1742724999995,bearish,2018,2018-04-12 03:50:00,7704.362695,SL,19424,-13.924630999999863
long,2018-04-12 04:30:00,7710.407652,7692.105424,7737.860993999999,bearish,2018,2018-04-12 05:40:00,7737.860993999999,TP,19446,27.453341999998884
long,2018-04-13 02:00:00,7775.196088,7770.318491,7782.512483499999,bearish,2018,2018-04-13 02:10:00,7770.318491,SL,19677,-4.877596999999696
long,2018-04-13 02:15:00,7773.736889,7769.442972,7780.1777645,bearish,2018,2018-04-13 02:20:00,7769.442972,SL,19679,-4.293916999999965
short,2018-04-13 02:25:00,7768.483773,7788.53704,7738.403872499999,bullish,2018,2018-04-13 05:00:00,7788.53704,SL,19711,-20.053267000000233
long,2018-04-13 05:05:00,7787.16152,7770.902171,7811.5505435,bearish,2018,2018-04-13 07:15:00,7811.5505435,TP,19738,24.389023499999894
long,2018-04-16 02:00:00,7772.27769,7762.146977,7787.473759499999,bearish,2018,2018-04-16 02:15:00,7762.146977,SL,19951,-10.13071299999956
short,2018-04-16 02:20:00,7764.689855,7786.786001,7731.545635999999,bullish,2018,2018-04-16 03:10:00,7786.786001,SL,19962,-22.096146000000772
long,2018-04-16 03:15:00,7786.577841,7753.391783,7836.356928000001,bearish,2018,2018-04-16 10:15:00,7753.391783,SL,20047,-33.18605800000023
