date,entry_time,direction,entry_price,stop_loss,take_profit,box_high,box_low,box_range,risk,order_type,result,exit_time,exit_price,pnl,pnl_points
2022-05-10,2022-05-10 10:45:00+02:00,LONG,14140.912121,14111.4166885,14258.893850999999,14140.912121,14081.921256,58.99086499999976,29.49543249999988,LIMIT,WIN,2022-05-10 10:55:00+02:00,14258.893850999999,117.98172999999952,117.98172999999952
2022-05-11,2022-05-11 09:20:00+02:00,SHORT,14330.198342,14354.6824145,14232.262051999998,14379.166487,14330.198342,48.96814500000073,24.484072499999456,LIMIT,LOSS,2022-05-11 09:25:00+02:00,14354.6824145,-24.484072499999456,-24.484072499999456
2022-05-12,2022-05-12 10:35:00+02:00,SHORT,13465.380809,13558.7352845,13091.962907,13652.08976,13465.380809,186.70895100000052,93.35447550000026,LIMIT,LOSS,2022-05-12 10:45:00+02:00,13558.7352845,-93.35447550000026,-93.35447550000026
2022-05-13,2022-05-13 10:25:00+02:00,SHORT,13901.225937,13942.175906,13737.426060999998,13983.125875,13901.225937,81.89993800000047,40.94996900000115,LIMIT,LOSS,2022-05-13 10:40:00+02:00,13942.175906,-40.94996900000115,-40.94996900000115
2022-05-16,2022-05-16 10:10:00+02:00,LONG,14139.766667,14121.296226,14213.648430999998,14139.766667,14102.825785,36.940881999998965,18.470440999999482,LIMIT,LOSS,2022-05-16 10:15:00+02:00,14121.296226,-18.470440999999482,-18.470440999999482
2022-05-17,2022-05-17 09:15:00+02:00,SHORT,14281.516561,14305.284725000001,14186.443905,14329.052889,14281.516561,47.53632800000014,23.76816400000098,LIMIT,LOSS,2022-05-17 09:30:00+02:00,14305.284725000001,-23.76816400000098,-23.76816400000098
2022-05-18,2022-05-18 09:45:00+02:00,SHORT,14213.362066,14259.609758499999,14028.371296,14305.857451,14213.362066,92.49538500000017,46.247692499999175,LIMIT,WIN,2022-05-18 12:05:00+02:00,14028.371296,184.99077000000034,184.99077000000034
2022-05-19,2022-05-19 10:15:00+02:00,LONG,13584.507992,13534.3943935,13784.962386000001,13584.507992,13484.280795,100.22719700000016,50.11359850000008,LIMIT,LOSS,2022-05-19 10:45:00+02:00,13534.3943935,-50.11359850000008,-50.11359850000008
2022-05-20,2022-05-20 09:50:00+02:00,SHORT,13772.935124,13808.014642999999,13632.617048,13843.094162,13772.935124,70.15903799999978,35.07951899999898,LIMIT,WIN,2022-05-20 11:05:00+02:00,13632.617048,140.31807599999956,140.31807599999956
2022-05-23,2022-05-23 09:35:00+02:00,SHORT,13632.617047,13673.1374715,13470.535348999998,13713.657896,13632.617047,81.04084900000089,40.520424500000445,LIMIT,LOSS,2022-05-23 10:45:00+02:00,13673.1374715,-40.520424500000445,-40.520424500000445
2022-05-24,2022-05-24 09:10:00+02:00,SHORT,13542.698933,13573.6261825,13418.989934999998,13604.553432,13542.698933,61.85449900000094,30.92724950000047,LIMIT,LOSS,2022-05-24 09:40:00+02:00,13573.6261825,-30.92724950000047,-30.92724950000047
2022-05-25,2022-05-25 10:45:00+02:00,LONG,13481.703524,13427.724019000001,13697.621544000001,13481.703524,13373.744514,107.95901000000049,53.979504999999335,LIMIT,WIN,2022-05-25 15:30:00+02:00,13697.621544000001,215.91802000000098,215.91802000000098
2022-05-26,2022-05-26 10:30:00+02:00,SHORT,13681.298829,13725.1124325,13506.044414999997,13768.926036,13681.298829,87.62720700000136,43.81360350000068,LIMIT,LOSS,2022-05-26 10:35:00+02:00,13725.1124325,-43.81360350000068,-43.81360350000068
2022-05-30,2022-05-30 09:15:00+02:00,SHORT,14692.734434,14704.7616975,14644.62538,14716.788961,14692.734434,24.054527000000235,12.027263500000117,LIMIT,WIN,2022-05-30 10:15:00+02:00,14644.62538,48.10905400000047,48.10905400000047
2022-05-31,2022-05-31 10:10:00+02:00,SHORT,14499.725488,14527.2163765,14389.761934000002,14554.707265,14499.725488,54.981776999999056,27.490888500000437,LIMIT,LOSS,2022-05-31 10:25:00+02:00,14527.2163765,-27.490888500000437,-27.490888500000437
2022-06-01,2022-06-01 09:05:00+02:00,LONG,14530.08001,14491.7073115,14683.570803999997,14530.08001,14453.334613,76.74539699999877,38.37269849999939,LIMIT,WIN,2022-06-01 10:55:00+02:00,14683.570803999997,153.49079399999755,153.49079399999755
