date,direction,tokyo_high,tokyo_low,tokyo_range,manipulation_high,manipulation_low,amplitude
2024-07-11,bullish,21799.114183,21766.235068,32.87911499999973,21806.420653,,7.3064699999995355
2024-07-12,bearish,21344.808317,21279.571978,65.23633899999913,,21272.787398,6.784579999999551
2024-07-15,bullish,21493.02528,21448.403624,44.621656000002986,21535.820318,,42.795037999996566
2024-07-16,bearish,21559.3054,21521.729269,37.576131000001624,,21441.097154,80.63211500000034
2024-07-17,bearish,21480.238957,21415.002618,65.23633900000277,,21197.37419,217.62842799999999
2024-07-18,bullish,20959.131079,20901.723101,57.407977999999275,21045.243047,,86.11196800000107
2024-07-19,bearish,20839.096215,20808.043717,31.052498000000924,,20618.336443,189.70727400000033
2024-07-22,bullish,20691.923033,20582.065038,109.85799499999848,20721.670804,,29.747771000002103
2024-07-23,bearish,20843.010395,20783.253908,59.75648700000238,,20738.110362,45.14354599999933
2024-07-24,bearish,20706.796919,20584.674492,122.12242700000206,,20545.010797,39.66369499999928
2024-07-25,bearish,20148.6348,20057.303925,91.33087499999965,,19896.561585,160.7423400000007
2024-07-26,bullish,19944.05364,19851.418038,92.63560199999847,20063.566614,,119.51297400000112
2024-07-29,bearish,20176.295008,20080.789007,95.50600100000156,,20061.218105,19.570901999999478
2024-07-30,bullish,20022.859138,19911.174525,111.68461300000126,20109.492996,,86.63385800000106
2024-07-31,bullish,19986.326788,19848.025749,138.30103899999813,20089.661149,,103.33436100000108
2024-08-01,bearish,20580.238421,20477.686895,102.55152599999928,,20358.695812,118.99108299999716
2024-08-02,bearish,19762.957562,19504.099768,258.85779399999956,,19457.390549,46.7092190000003
2024-08-05,bearish,19074.06182,18671.162188,402.89963200000057,,18226.250355,444.9118329999983
2024-08-06,bearish,19244.198192,19026.047874,218.15031799999997,,18805.288102,220.75977200000125
2024-08-07,bullish,19246.02481,18838.167217,407.85759300000063,19253.070335,,7.045525000001362
2024-08-09,bullish,19415.378347,19237.152668,178.22567900000286,19467.567418,,52.18907099999706
2024-08-12,bullish,19484.267921,19396.06839,88.19953099999839,19509.05773,,24.789809000001696
2024-08-13,bullish,19515.581364,19452.954478,62.62688600000183,19641.096081,,125.5147169999982
2024-08-14,bearish,19991.80664,19917.176268,74.63037199999962,,19898.127257,19.049010999999155
2024-08-16,bullish,20504.564267,20433.065239,71.499028000002,20544.749852,,40.185584999999264
2024-08-19,bearish,20549.968759,20450.287633,99.6811259999995,,20380.093332,70.19430099999954
2024-08-20,bullish,20786.385253,20713.842443,72.54280999999901,20803.607646,,17.22239300000001
2024-08-23,bullish,20553.361049,20491.777945,61.58310399999755,20583.369765,,30.008716000000277
2024-08-26,bullish,20700.273285,20615.726989,84.54629600000044,20715.14717,,14.873885000000882
2024-08-27,bullish,20466.988136,20398.881397,68.10673899999892,20507.173721,,40.185584999999264
2024-08-28,bullish,20495.43118,20436.196584,59.23459599999842,20553.100103,,57.66892300000109
2024-08-29,bullish,20143.154948,20031.73128,111.42366799999945,20359.739594,,216.58464599999934
2024-08-30,bullish,20327.643315,20243.097019,84.54629600000044,20394.967217,,67.32390200000009
2024-09-02,bearish,20487.080928,20421.844589,65.23633899999913,,20365.219446,56.62514300000112
2024-09-03,bearish,20466.988136,20368.350791,98.63734499999919,,20296.851763,71.499028000002
2024-09-05,bearish,19838.109825,19723.032923,115.0769020000007,,19714.682671,8.350252000000182
2024-09-06,bearish,19743.647606,19613.696818,129.95078799999828,,19521.844052,91.85276599999997
2024-09-09,bullish,19398.155953,19249.93899,148.21696300000258,19453.476369,,55.32041599999866
2024-09-10,bearish,19535.935102,19426.338052,109.59705000000031,,19395.807445,30.5306070000006
2024-09-12,bullish,20171.076101,20076.091991,94.9841099999976,20189.603221,,18.52712000000247
2024-09-13,bullish,20326.338588,20270.496282,55.84230599999864,20331.29655,,4.957962000000407
2024-09-16,bearish,20399.925179,20349.82367,50.10150900000008,,20334.427894,15.395776000001206
2024-09-17,bullish,20302.07067,20252.751997,49.31867300000158,20410.534538,,108.46386799999891
2024-09-18,bearish,20337.038356,20291.393358,45.64499799999976,,20276.952003,14.441355000002659
2024-09-19,bullish,20498.987838,20298.356155,200.6316829999996,20613.487154,,114.49931599999763
2024-09-20,bearish,20703.229861,20651.911474,51.31838699999935,,20637.985881,13.925592999999935
2024-09-23,bearish,20799.677483,20687.499099,112.17838399999891,,20584.346562,103.15253700000176
2024-09-24,bullish,20729.275876,20653.716643,75.55923299999995,20815.408244,,86.13236799999868
2024-09-25,bearish,20819.276465,20743.201469,76.07499599999937,,20696.782827,46.418642000000546
2024-09-26,bullish,21023.518487,20915.208324,108.31016300000192,21146.012124,,122.49363699999958
2024-09-27,bearish,20991.799082,20918.818662,72.98041999999987,,20872.915784,45.90287800000078
2024-09-30,bearish,20926.555103,20788.846466,137.70863699999973,,20781.110026,7.736440000000584
2024-10-01,bearish,20972.715863,20859.505954,113.20990900000106,,20852.285276,7.220678000001499
2024-10-02,bearish,20626.381221,20537.927921,88.45330000000104,,20518.071058,19.856862999997247
2024-10-03,bearish,20687.75698,20563.458174,124.29880599999888,,20477.841568,85.61660599999959
2024-10-07,bearish,20902.572138,20838.101802,64.4703359999985,,20690.335794,147.76600800000233
2024-10-08,bullish,20662.226728,20584.088681,78.13804700000037,20723.344606,,61.11787799999729
2024-10-09,bearish,20928.876035,20860.279598,68.59643700000015,,20832.686294,27.593304000001808
2024-10-10,bearish,21119.450346,21079.994501,39.45584500000041,,21049.04874,30.945761000002676
2024-10-11,bearish,21113.519075,21076.899925,36.619149999998626,,20995.667302,81.23262299999988
2024-10-14,bullish,21076.642043,21025.839419,50.80262399999992,21135.954752,,59.31270900000163
2024-10-15,bearish,21287.846862,21239.107289,48.73957299999893,,21211.771866,27.335423000000446
2024-10-16,bearish,21038.733486,20981.74171,56.991776000002574,,20970.910693,10.831016999996791
2024-10-17,bullish,20967.558236,20915.981968,51.57626800000071,21153.490683,,185.93244699999923
2024-10-18,bullish,21050.080265,20961.369084,88.71118099999876,21113.261194,,63.18092899999829
2024-10-21,bearish,21170.510852,21110.424499,60.08635299999878,,21037.44408,72.98041899999953
2024-10-22,bearish,21163.032293,21094.693737,68.33855599999879,,21018.102979,76.5907580000021
2024-10-23,bearish,21183.404919,21138.533565,44.87135399999897,,21118.934583,19.59898200000316
2024-10-24,bullish,20984.836286,20915.208324,69.6279620000023,21044.922638,,60.08635199999844
2024-10-25,bullish,21056.269417,21006.7562,49.51321699999971,21090.309755,,34.04033799999888
2024-10-28,bullish,21309.766776,21241.170339,68.59643700000015,21322.145081,,12.378304999998363
2024-10-29,bullish,21170.510852,21095.725263,74.78558899999916,21202.746019,,32.23516699999891
2024-10-30,bearish,21443.865074,21366.758553,77.10652100000152,,21359.022112,7.736441000000923
2024-10-31,bearish,21108.877211,21044.148994,64.72821699999986,,20926.555103,117.59389100000044
2024-11-01,bullish,20735.465029,20648.043254,87.42177499999889,20757.642824,,22.177794999999605
2024-11-05,bullish,20749.906384,20673.573507,76.33287700000074,20802.772059,,52.86567499999728
2024-11-06,bullish,21291.19932,21020.939674,270.2596459999986,21384.810247,,93.61092700000154
2024-11-07,bullish,21614.582522,21524.324052,90.25847000000067,21621.803199,,7.22067700000116
2024-11-08,bearish,21933.581741,21884.326405,49.25533600000199,,21796.388868,87.93753700000161
2024-11-11,bullish,21971.490299,21928.166233,43.32406600000104,21995.731145,,24.2408460000006
2024-11-12,bearish,21919.398268,21858.022508,61.37576000000263,,21794.583698,63.43880999999965
2024-11-13,bullish,21828.108273,21781.947513,46.16076000000248,21851.317593,,23.209319999998115
2024-11-14,bullish,21819.85607,21772.148022,47.70804800000042,21858.28039,,38.42431999999826
2024-11-15,bearish,21588.794388,21542.633628,46.160759999998845,,21449.796345,92.83728300000075
2024-11-18,bearish,21308.219488,21242.459746,65.75974199999837,,21192.688647,49.77109900000141
2024-11-19,bearish,21349.480503,21256.127457,93.35304600000018,,21138.791447,117.33600999999908
2024-11-20,bullish,21479.71058,21427.876431,51.83414899999843,21500.341088,,20.63050800000201
2024-11-21,bearish,21356.959062,21270.310931,86.64813100000174,,21244.522797,25.788133999998536
2024-11-22,bearish,21501.630494,21414.724482,86.90601199999946,,21345.612283,69.11219900000287
2024-11-25,bearish,21633.149978,21610.45642,22.693558000002668,,21591.373201,19.0832190000001
2024-11-27,bearish,21681.631671,21612.777352,68.85431899999821,,21563.264135,49.51321699999971
2024-11-28,bullish,21519.424307,21490.025834,29.398473000001104,21527.934391,,8.510083999997732
2024-12-02,bearish,21635.728792,21605.814556,29.91423600000053,,21600.141167,5.673388999999588
2024-12-03,bullish,21909.340895,21871.690219,37.65067600000111,21913.209115,,3.868220000000292
2024-12-04,bullish,22041.891905,21992.120806,49.77109900000141,22088.052665,,46.160759999998845
2024-12-05,bearish,22199.199523,22173.153508,26.046014999999898,,22166.448593,6.7049149999984365
2024-12-06,bullish,22158.970034,22126.219103,32.75093100000231,22172.895626,,13.925591999999597
2024-12-09,bullish,22340.518498,22309.314856,31.2036420000004,22390.547479,,50.028980999999476
2024-12-10,bullish,22162.322491,22129.055798,33.26669299999776,22175.47444,,13.151949000002787
2024-12-11,bullish,22114.356562,22088.826309,25.530253000000812,22132.924018,,18.567456000000675
2024-12-12,bearish,22450.891712,22433.0979,17.79381199999989,,22412.725274,20.37262600000031
2024-12-13,bullish,22445.991967,22382.037394,63.95457300000271,22486.737219,,40.74525199999698
2024-12-16,bullish,22509.688658,22469.974932,39.71372599999813,22555.849418,,46.16076000000248
2024-12-17,bearish,22821.982963,22778.658898,43.32406499999706,,22723.214409,55.44448900000134
2024-12-18,bullish,22736.624239,22678.343056,58.281182999999146,22770.148813,,33.52457399999912
2024-12-19,bullish,21947.765215,21822.692764,125.072451,22008.625212,,60.85999699999957
2024-12-20,bearish,21686.636912,21587.406392,99.23052000000098,,21483.278781,104.12761099999989
2024-12-23,bullish,22404.189558,22278.15391,126.03564799999731,22408.828907,,4.639349000000948
2024-12-24,bullish,22433.829844,22392.848927,40.98091700000077,22482.285266,,48.45542199999909
2024-12-26,bearish,22795.956807,22728.170764,67.78604300000006,,22572.237089,155.93367500000022
2024-12-27,bearish,22657.807304,22621.98122,35.826084000000264,,22576.360955,45.62026500000138
2024-12-30,bearish,22385.116679,22319.65031,65.46636899999794,,22282.277776,37.372534000001906
2024-12-31,bullish,22120.158303,22030.464222,89.69408100000146,22177.119199,,56.9608960000005
2025-01-02,bullish,22038.454212,21889.479561,148.97465100000045,22087.940601,,49.48638899999787
2025-01-03,bullish,21918.346621,21862.674433,55.67218800000046,21947.213681,,28.867060000000492
2025-01-06,bullish,22219.131081,22147.736655,71.39442599999893,22365.012833,,145.88175200000114
2025-01-08,bearish,22100.827682,22046.701943,54.12573899999916,,22021.958749,24.743193999998766
2025-01-09,bearish,22008.298443,21952.368514,55.92992899999808,,21875.04603,77.32248400000026
2025-01-13,bearish,21652.357278,21504.413593,147.94368499999837,,21334.819613,169.59398000000147
2025-01-14,bullish,21711.637849,21647.202446,64.4354029999995,21798.496772,,86.85892299999978
2025-01-15,bearish,21612.66507,21575.034795,37.63027499999953,,21556.477399,18.557396000000153
2025-01-16,bullish,22092.064467,22015.77295,76.29151700000148,22235.111061,,143.04659399999946
2025-01-17,bullish,21969.637202,21896.180842,73.45636000000013,22018.092625,,48.45542299999943
2025-01-20,bullish,22245.162984,22207.274967,37.88801699999749,22308.051937,,62.88895300000149
2025-01-21,bullish,22318.10386,22039.74292,278.36093999999866,22403.674075,,85.57021499999973
2025-01-22,bullish,22554.195176,22486.924615,67.27056100000118,22585.381911,,31.186734999999317
2025-01-23,bearish,22649.301831,22604.970273,44.33155800000168,,22532.287139,72.68313399999897
2025-01-24,bearish,22741.573327,22659.869237,81.70408999999927,,22652.136988,7.732249000000593
2025-01-27,bearish,22285.370675,22074.022554,211.34812099999908,,21406.729523,667.2930309999974
2025-01-28,bullish,21992.318463,21876.076997,116.24146599999949,22086.909635,,94.59117200000037
2025-01-29,bullish,22277.896169,22221.708497,56.18767200000002,22368.878957,,90.98278800000116
2025-01-30,bullish,22351.352528,22246.709434,104.64309399999911,22387.951837,,36.599309000001085
2025-01-31,bullish,22462.439162,22351.352528,111.08663399999932,22482.543008,,20.103846000001795
2025-02-03,bullish,21804.940312,21626.067634,178.87267799999972,21910.098889,,105.15857700000197
2025-02-05,bearish,22293.360665,22197.223044,96.13762100000167,,22093.353175,103.86986899999829
2025-02-07,bearish,22577.391921,22521.461991,55.92992999999842,,22509.090394,12.371597000001202
2025-02-10,bullish,22405.478266,22329.959974,75.51829199999702,22408.055682,,2.5774160000000848
2025-02-11,bearish,22488.213323,22423.777921,64.43540199999916,,22391.560219,32.21770200000174
2025-02-12,bearish,22505.997495,22440.015642,65.98185300000114,,22409.086649,30.928992999997718
2025-02-13,bearish,22606.00124,22548.524861,57.476378999999724,,22426.613078,121.9117830000032
2025-02-14,bullish,22835.133532,22778.172636,56.9608960000005,22849.824804,,14.691272000000026
2025-02-18,bullish,22959.62273,22919.930522,39.69220800000039,23010.913311,,51.29058100000111
2025-02-19,bearish,22981.530767,22941.580818,39.94994900000165,,22890.547979,51.03283899999951
2025-02-20,bearish,22918.384073,22843.639005,74.74506800000017,,22826.628059,17.01094600000215
2025-02-21,bullish,22846.731905,22796.214549,50.51735600000029,22865.289301,,18.557396000000153
2025-02-24,bearish,22476.614951,22405.736008,70.87894299999971,,22373.002823,32.73318500000096
2025-02-25,bearish,22118.09637,22059.846766,58.249604000000545,,21945.151749,114.69501699999819
2025-02-26,bullish,21939.481433,21856.488634,82.99279899999965,21988.710081,,49.22864800000025
2025-02-27,bullish,21924.790161,21761.639721,163.15044000000125,22010.360376,,85.57021499999973
2025-02-28,bullish,21307.756744,21150.792103,156.96464099999866,21324.509949,,16.75320500000089
2025-03-03,bullish,21651.841795,21509.826167,142.01562800000102,21671.945641,,20.103845999998157
2025-03-04,bearish,21229.661036,21100.017005,129.6440309999998,,21077.078002,22.93900300000314
2025-03-05,bullish,21204.660099,21073.469619,131.19048000000112,21268.580019,,63.919920000000275
2025-03-06,bearish,21286.879673,21220.897821,65.9818520000008,,20996.147136,224.75068499999907
2025-03-07,bearish,20846.141518,20760.313562,85.827956000001,,20743.302615,17.01094699999885
2025-03-10,bearish,20780.675149,20626.545665,154.12948399999732,,20566.749612,59.79605300000185
2025-03-11,bullish,20098.690846,19731.924533,366.7663130000001,20188.127185,,89.43633899999986
2025-03-12,bullish,20103.587936,20037.348342,66.23959399999876,20170.858497,,67.27056100000118
2025-03-13,bearish,20303.853168,20065.699919,238.1532490000027,,20001.522258,64.1776609999979
2025-03-14,bullish,20062.60702,19933.736214,128.870805999999,20065.184436,,2.5774160000000848
2025-03-17,bearish,20236.324866,20170.343013,65.9818529999975,,20160.291091,10.051922000002378
2025-03-18,bullish,20440.971705,20321.895081,119.07662400000117,20441.372263,,0.40055800000118325
2025-03-19,bearish,20195.52698,20102.442406,93.08457400000043,,20055.262554,47.17985199999748
2025-03-20,bearish,20496.712955,20413.829431,82.88352400000076,,20336.046431,77.78299999999945
2025-03-21,bearish,20333.496169,20259.793589,73.7025799999974,,20156.762993,103.03059600000051
