date,type,entry_price,stop_loss,risk,tokyo_high,tokyo_low,tokyo_eq,entry_datetime,outcome,profit_points,Sweep_Depth,Time_Outside,Tokyo_Range_Size
2023-03-07,short,13878.601374,13880.819611,2.218237000000954,13916.56023,13858.919004,13887.739617,2023-03-07 01:50:00,win,2.218237000000954,8.72,-15,57.64
2023-03-08,short,13678.403554,13681.184144,2.780590000000302,13703.428282,13652.535296,13677.981789000001,2023-03-08 01:20:00,loss,-2.780590000000302,11.81,-10,50.89
2023-03-09,long,13697.242394,13693.89945,3.3429439999999886,13743.074198,13701.460045,13722.267121500001,2023-03-09 02:40:00,loss,-3.3429439999999886,46.11,6,41.61
2023-03-10,short,13460.772778,13475.925144,15.152366000000256,13479.330441,13413.253914,13446.2921775,2023-03-10 01:50:00,loss,-15.152366000000256,43.02,6,66.08
2023-03-13,short,13567.338752,13580.522881,13.184129000001121,13581.397588,13440.246878,13510.822232999999,2023-03-13 01:30:00,loss,-13.184129000001121,22.78,5,141.15
2023-03-14,long,13479.361855,13466.865733,12.49612199999865,13511.10341,13424.219806,13467.661607999999,2023-03-14 02:05:00,win,12.49612199999865,3.86,10,86.88
2023-03-16,long,13840.065804,13823.673189,16.39261500000066,13874.299281,13804.440723,13839.370002,2023-03-16 02:40:00,win,16.39261500000066,13.08,10,69.86
2023-03-17,short,14189.080273,14196.844939,7.764666000000943,14182.12225,14140.930749,14161.5264995,2023-03-17 02:15:00,win,7.764666000000943,32.01,15,41.19
2023-03-20,long,14006.22341,13996.788819,9.434591000001092,14169.319486,14067.175698,14118.247592,2023-03-20 02:05:00,win,9.434591000001092,123.02,9,102.14
2023-03-21,short,14157.351685,14169.569486,12.21780100000069,14180.730645,14112.542012,14146.6363285,2023-03-21 03:00:00,loss,-12.21780100000069,5.01,4,68.19
2023-03-22,long,14329.354031,14326.599143,2.7548880000013014,14346.331609,14313.489737,14329.910673,2023-03-22 01:20:00,win,2.7548880000013014,53.16,-9,32.84
2023-03-23,short,14279.812902,14284.237717,4.424815000000308,14223.592071,14144.548922,14184.0704965,2023-03-23 03:35:00,loss,-4.424815000000308,87.95,31,79.04
2023-03-24,short,14326.570822,14327.377464,0.806641999999556,14329.354031,14274.803125,14302.078578,2023-03-24 01:45:00,loss,-0.806641999999556,54.55,9,54.55
2023-03-27,short,14401.439157,14413.656958,12.217800999998872,14429.549573,14369.153927,14399.35175,2023-03-27 01:40:00,loss,-12.217800999998872,3.62,8,60.4
2023-03-28,short,14240.013007,14253.900733,13.88772600000084,14276.19473,14240.013007,14258.103868499998,2023-03-28 02:20:00,win,13.88772600000084,11.13,7,36.18
2023-03-29,short,14297.625443,14300.658653,3.033209999999599,14240.84797,14203.831284,14222.339627000001,2023-03-29 02:45:00,win,3.033209999999599,72.09,21,37.02
2023-03-30,short,14464.896333,14468.486185,3.589851999999155,14429.549573,14396.42938,14412.989476499999,2023-03-30 02:55:00,win,3.589851999999155,49.26,23,33.12
2023-03-31,long,14575.946392,14571.243256,4.703136000000086,14627.157446,14576.781355,14601.969400499998,2023-03-31 02:40:00,loss,-4.703136000000086,20.32,15,50.38
2023-04-03,short,14717.333433,14722.593211,5.259777999999642,14740.155751,14695.346079,14717.750915,2023-04-03 03:10:00,win,5.259777999999642,7.24,3,44.81
