date,tokyo_high,tokyo_low,tokyo_eq,manipulation_type,direction,fvg_timeframe,fvg_top,fvg_bottom,fvg_formation_time,inversion_time,entry_price,manip_candle_high,manip_candle_low,manip_candle_open,manip_candle_close,sl_type,sl_price,tp_level,tp_price,risk,reward_target,rr_ratio,result,exit_price,exit_time,pnl_r
2025-04-14,19330.988067,19227.447419,19279.217743,HIGH,SHORT,1m,19315.686494,19315.431467,2025-04-15 02:02:00,2025-04-15 06:43:00,19309.82089,19411.321329,19374.0875,19395.764729,19380.208129,SL-Wick,19411.321329,1.5R,19157.5702315,101.50043899999946,152.2506584999992,1.5,LOSS,19411.321329,2025-04-15 08:30:00,-1.0
2025-04-14,19330.988067,19227.447419,19279.217743,HIGH,SHORT,1m,19315.686494,19315.431467,2025-04-15 02:02:00,2025-04-15 06:43:00,19309.82089,19411.321329,19374.0875,19395.764729,19380.208129,SL-Wick,19411.321329,2R,19106.820012,101.50043899999946,203.00087799999892,2.0,LOSS,19411.321329,2025-04-15 08:30:00,-1.0
2025-04-15,19112.940643,18998.17884,19055.5597415,LOW,LONG,5m,18965.535483,18958.649775,2025-04-16 02:20:00,2025-04-16 03:25:00,19030.312145,18953.54925,18928.301654,18938.247676,18933.147152,SL-Body,18933.147152,1R,19127.477138,97.1649929999985,97.1649929999985,1.0,WIN,19127.477138,2025-04-16 03:40:00,1.0
2025-04-15,19112.940643,18998.17884,19055.5597415,LOW,LONG,5m,18965.535483,18958.649775,2025-04-16 02:20:00,2025-04-16 03:25:00,19030.312145,18953.54925,18928.301654,18938.247676,18933.147152,SL-Body,18933.147152,1.5R,19176.059634499998,97.1649929999985,145.74748949999776,1.5,WIN,19176.059634499998,2025-04-16 03:40:00,1.5
2025-04-15,19112.940643,18998.17884,19055.5597415,LOW,LONG,5m,18965.535483,18958.649775,2025-04-16 02:20:00,2025-04-16 03:25:00,19030.312145,18953.54925,18928.301654,18938.247676,18933.147152,SL-Body,18933.147152,2R,19224.642130999997,97.1649929999985,194.329985999997,2.0,WIN,19224.642130999997,2025-04-16 03:40:00,2.0
2025-04-15,19112.940643,18998.17884,19055.5597415,LOW,LONG,5m,18965.535483,18958.649775,2025-04-16 02:20:00,2025-04-16 03:25:00,19030.312145,18953.54925,18928.301654,18938.247676,18933.147152,SL-Wick,18928.301654,1R,19132.322636,102.01049100000091,102.01049100000091,1.0,WIN,19132.322636,2025-04-16 03:40:00,1.0
2025-04-15,19112.940643,18998.17884,19055.5597415,LOW,LONG,5m,18965.535483,18958.649775,2025-04-16 02:20:00,2025-04-16 03:25:00,19030.312145,18953.54925,18928.301654,18938.247676,18933.147152,SL-Wick,18928.301654,1.5R,19183.3278815,102.01049100000091,153.01573650000137,1.5,WIN,19183.3278815,2025-04-16 03:40:00,1.5
2025-04-15,19112.940643,18998.17884,19055.5597415,LOW,LONG,5m,18965.535483,18958.649775,2025-04-16 02:20:00,2025-04-16 03:25:00,19030.312145,18953.54925,18928.301654,18938.247676,18933.147152,SL-Wick,18928.301654,2R,19234.333127,102.01049100000091,204.02098200000182,2.0,WIN,19234.333127,2025-04-16 03:40:00,2.0
2025-04-16,18916.570447,18744.937796,18830.7541215,HIGH,SHORT,5m,18975.991558,18964.005326,2025-04-17 02:20:00,2025-04-17 03:30:00,18957.884696,19027.761882,18941.563017,18954.314329,18995.373552,SL-Body,18995.373552,1R,18920.39584,37.48885599999994,37.48885599999994,1.0,WIN,18920.39584,2025-04-17 03:50:00,1.0
2025-04-16,18916.570447,18744.937796,18830.7541215,HIGH,SHORT,5m,18975.991558,18964.005326,2025-04-17 02:20:00,2025-04-17 03:30:00,18957.884696,19027.761882,18941.563017,18954.314329,18995.373552,SL-Body,18995.373552,1.5R,18901.651412,37.48885599999994,56.23328399999991,1.5,WIN,18901.651412,2025-04-17 04:00:00,1.5000000000000486
