Date,Entry_Time,Direction,Entry_Price,SL_Price,FVG_Used,FVG_Level,Risk_R,TP_Price,Exit_Time,Exit_Price,Exit_Type,PnL_Points,PnL_R,Asian_High,Asian_Low
2024-06-04,2024-06-04 01:15:00,SHORT,19698.398862,19721.401126,True,19721.401126,23.00226400000247,19675.396597999996,2024-06-04 01:36:00,19675.396597999996,TP,23.00226400000247,1.0,19752.335206,19712.940523
2024-06-05,2024-06-05 02:00:00,SHORT,19788.557162,19808.386701,True,19808.386701,19.829538999998476,19768.727623000002,2024-06-05 02:30:00,19808.386701,SL,-19.829538999998476,-1.0,19846.459414,19792.787464
2024-06-07,2024-06-07 01:15:00,LONG,20195.459286,20184.354745,True,20184.354745,11.104541000000609,20206.563827,2024-06-07 01:19:00,20184.354745,SL,-11.104541000000609,-1.0,20193.079742,20165.318388
2024-06-10,2024-06-10 01:45:00,SHORT,20101.599472,20120.371435,True,20120.371435,18.771962999999232,20082.827509000002,2024-06-10 02:05:00,20120.371435,SL,-18.771962999999232,-1.0,20147.868395,20109.795681
2024-06-11,2024-06-11 01:00:00,LONG,20206.563828,20204.448677,True,20204.448677,2.11515099999815,20208.678978999997,2024-06-11 01:01:00,20208.678978999997,TP,2.11515099999815,1.0,20196.516862,20174.307779
2024-06-12,2024-06-12 01:15:00,LONG,20381.856946,20377.626644,True,20377.626644,4.230301999999938,20386.087248,2024-06-12 01:31:00,20377.626644,SL,-4.230301999999938,-1.0,20379.213007,20345.634989
2024-06-13,2024-06-13 01:30:00,LONG,20777.125741,20758.618172,True,20758.618172,18.50756900000124,20795.63331,2024-06-13 02:14:00,20795.63331,TP,18.50756900000124,1.0,20771.309076,20709.705311
2024-06-14,2024-06-14 01:15:00,LONG,20782.149224,20772.631045,True,20772.631045,9.51817900000242,20791.667403000003,2024-06-14 01:39:00,20772.631045,SL,-9.51817900000242,-1.0,20775.01059,20729.534849
2024-06-17,2024-06-17 01:00:00,SHORT,20817.698696,20835.182034,True,20835.182034,17.483338000001822,20800.215357999998,2024-06-17 01:37:00,20835.182034,SL,-17.483338000001822,-1.0,20861.202983,20818.106786
2024-06-18,2024-06-18 02:30:00,LONG,21096.910228,21083.602014,True,21083.602014,13.30821400000059,21110.218442,2024-06-18 03:09:00,21110.218442,TP,13.30821400000059,1.0,21096.127392,21040.54603
