Date,Entry_Time,Direction,Entry_Price,Exit_Time,Exit_Price,Exit_Type,PnL_Points,Risk_R
2023-08-03,2023-08-03 01:45:00,SHORT,16942.905782,2023-08-03 07:00:00,16933.555848,FORCE_CLOSE,9.349934000001667,117.22418899999684
2023-08-08,2023-08-08 01:00:00,SHORT,16950.33073,2023-08-08 07:00:00,16878.006239,FORCE_CLOSE,72.32449100000304,92.47436299999754
2023-08-09,2023-08-09 01:45:00,LONG,16942.355786,2023-08-09 07:00:00,16927.230892,FORCE_CLOSE,-15.124894000000495,66.62454499999876
2023-08-10,2023-08-10 01:00:00,LONG,16779.281934,2023-08-10 07:00:00,16813.93169,FORCE_CLOSE,34.649756000002526,56.999612999999954
2023-08-11,2023-08-11 03:00:00,SHORT,16712.457404,2023-08-11 07:00:00,16688.532572,FORCE_CLOSE,23.924832000000606,82.84943099999873
2023-08-14,2023-08-14 02:45:00,LONG,16717.957365,2023-08-14 07:00:00,16629.13299,FORCE_CLOSE,-88.82437500000015,197.24862599999688
2023-08-15,2023-08-15 01:30:00,SHORT,16818.056661,2023-08-15 03:00:00,16713.407368999997,TP,104.64929200000188,52.32464600000094
2023-08-17,2023-08-17 01:30:00,LONG,16449.009257,2023-08-17 07:00:00,16483.659014,FORCE_CLOSE,34.64975699999923,74.87448700000095
2023-08-18,2023-08-18 02:30:00,SHORT,16207.560956,2023-08-18 07:00:00,16116.811595,FORCE_CLOSE,90.74936100000014,64.42456099999981
2023-08-22,2023-08-22 01:00:00,LONG,16490.808963,2023-08-22 06:30:00,16602.058207,TP,111.24924399999873,55.62462199999936
2023-08-23,2023-08-23 01:30:00,LONG,16538.658627,2023-08-23 07:00:00,16494.658936,FORCE_CLOSE,-43.999691000000894,87.7993970000025
2023-08-30,2023-08-30 01:00:00,SHORT,16963.255639,2023-08-30 07:00:00,16943.455778,FORCE_CLOSE,19.79986099999951,53.424638000000414
2023-09-04,2023-09-04 01:15:00,LONG,17104.604644,2023-09-04 07:00:00,17111.754594,FORCE_CLOSE,7.149950000002718,50.39965899999879
2023-09-05,2023-09-05 01:15:00,SHORT,17029.805171,2023-09-05 07:00:00,17021.555229,FORCE_CLOSE,8.249941999998555,58.09960499999943
2023-09-06,2023-09-06 01:45:00,SHORT,17039.980099,2023-09-06 07:00:00,17039.980099,FORCE_CLOSE,0.0,48.19967499999984
2023-09-07,2023-09-07 01:00:00,SHORT,16868.656305,2023-09-07 07:00:00,16793.581833,FORCE_CLOSE,75.07447200000024,68.54953100000057
2023-09-08,2023-09-08 01:00:00,LONG,16865.356328,2023-09-08 04:00:00,16776.456939,SL,-88.89938900000197,88.89938900000197
2023-09-11,2023-09-11 01:00:00,LONG,16896.222499,2023-09-11 07:00:00,16960.573028,FORCE_CLOSE,64.35052899999937,70.54090599999836
2023-09-12,2023-09-12 02:15:00,SHORT,16985.009938,2023-09-12 07:00:00,16965.46041,FORCE_CLOSE,19.549527999999555,40.827534000000014
2023-09-15,2023-09-15 03:00:00,SHORT,17018.135526,2023-09-15 07:00:00,17011.347496,FORCE_CLOSE,6.788029999999708,56.847287000000506
2023-09-20,2023-09-20 03:15:00,LONG,16714.303281,2023-09-20 07:00:00,16725.978693,FORCE_CLOSE,11.675412000000506,53.317511000001105
2023-09-21,2023-09-21 03:30:00,SHORT,16356.438313,2023-09-21 07:00:00,16273.352819,FORCE_CLOSE,83.08549400000084,83.18484400000125
2023-09-22,2023-09-22 01:30:00,LONG,16191.081889,2023-09-22 07:00:00,16238.869624,FORCE_CLOSE,47.7877350000017,79.65506899999855
2023-09-26,2023-09-26 01:00:00,SHORT,16125.373754,2023-09-26 07:00:00,16162.843682,FORCE_CLOSE,-37.469928000000436,106.80719099999988
2023-09-27,2023-09-27 01:00:00,LONG,16030.069806,2023-09-27 07:00:00,16025.453945,FORCE_CLOSE,-4.615861000000223,47.887086999999156
2023-09-28,2023-09-28 04:00:00,SHORT,15960.560373,2023-09-28 07:00:00,15998.030302,FORCE_CLOSE,-37.469928999998956,108.9793609999997
2023-09-29,2023-09-29 01:00:00,LONG,16182.936253,2023-09-29 07:00:00,16245.386133,FORCE_CLOSE,62.44988000000012,83.18484499999977
2023-10-04,2023-10-04 01:00:00,SHORT,15884.534432,2023-10-04 06:00:00,16003.017035,SL,-118.48260300000038,118.48260300000038
2023-10-16,2023-10-16 02:15:00,SHORT,16441.967497,2023-10-16 07:00:00,16430.835127,FORCE_CLOSE,11.132370000002993,54.94663799999762
2023-10-23,2023-10-23 02:15:00,SHORT,15938.295633,2023-10-23 04:15:00,15845.236672999998,TP,93.05896000000212,46.52948000000106
2023-10-24,2023-10-24 01:00:00,LONG,16063.738437,2023-10-24 07:00:00,16061.294746,FORCE_CLOSE,-2.443691000000399,78.56898399999955
2023-10-25,2023-10-25 01:00:00,SHORT,16031.698933,2023-10-25 07:00:00,16061.023225,FORCE_CLOSE,-29.32429200000115,68.79421999999977
2023-10-27,2023-10-27 03:30:00,LONG,15566.311561,2023-10-27 07:00:00,15522.325124,FORCE_CLOSE,-43.98643699999957,70.6948680000005
2023-10-30,2023-10-30 01:30:00,LONG,15592.106077,2023-10-30 07:00:00,15606.768223,FORCE_CLOSE,14.662145999998756,44.357310000001235
2023-10-31,2023-10-31 01:00:00,SHORT,15557.07984,2023-10-31 03:45:00,15654.112267,SL,-97.0324270000001,97.0324270000001
2023-11-02,2023-11-02 02:45:00,LONG,16096.320983,2023-11-02 07:00:00,16188.90972,FORCE_CLOSE,92.58873700000004,60.10554099999899
2023-11-06,2023-11-06 01:15:00,LONG,16506.046505,2023-11-06 07:00:00,16501.430644,FORCE_CLOSE,-4.615860999998404,40.01297100000011
2023-11-10,2023-11-10 01:00:00,LONG,16568.224864,2023-11-10 07:00:00,16601.350453,FORCE_CLOSE,33.12558899999931,53.317510000000766
2023-11-14,2023-11-14 01:30:00,LONG,16924.189184,2023-11-14 07:00:00,16925.003748,FORCE_CLOSE,0.8145640000002459,35.12558899999931
2023-11-15,2023-11-15 02:30:00,LONG,17321.42473,2023-11-15 07:00:00,17367.854858,FORCE_CLOSE,46.43012799999997,60.10554199999751
2023-11-17,2023-11-17 02:30:00,LONG,17279.610462,2023-11-17 07:00:00,17288.570662,FORCE_CLOSE,8.960199999997712,37.8408010000021
2023-11-20,2023-11-20 02:00:00,LONG,17245.94183,2023-11-20 07:00:00,17267.935049,FORCE_CLOSE,21.993218999999954,47.344043000000966
2023-11-21,2023-11-21 01:15:00,SHORT,17477.820952,2023-11-21 07:00:00,17416.728678,FORCE_CLOSE,61.092273999998724,34.582547000001796
2023-11-23,2023-11-23 01:00:00,LONG,17458.814467,2023-11-23 07:00:00,17444.152321,FORCE_CLOSE,-14.662145999998756,41.64209800000026
2023-11-24,2023-11-24 01:00:00,SHORT,17416.185635,2023-11-24 07:00:00,17417.27172,FORCE_CLOSE,-1.0860849999990023,40.01297100000011
2023-11-27,2023-11-27 02:15:00,LONG,17367.854858,2023-11-27 07:00:00,17395.821544,FORCE_CLOSE,27.966685999999754,59.01945599999817
2023-11-28,2023-11-28 01:00:00,SHORT,17356.450967,2023-11-28 07:00:00,17325.769069,FORCE_CLOSE,30.68189799999891,38.11232200000086
2023-11-29,2023-11-29 02:30:00,LONG,17481.350728,2023-11-29 07:00:00,17539.184748,FORCE_CLOSE,57.83401999999842,53.317510000000766
2023-12-01,2023-12-01 02:15:00,LONG,17345.590118,2023-12-01 06:00:00,17316.709517,SL,-28.880601000000752,28.880601000000752
2023-12-05,2023-12-05 01:00:00,SHORT,17142.763767,2023-12-05 07:00:00,17160.141125,FORCE_CLOSE,-17.377357999997912,77.48289899999872
2023-12-15,2023-12-15 01:00:00,LONG,17993.996329,2023-12-15 07:00:00,18009.540509,FORCE_CLOSE,15.54417999999714,42.736471000000165
