date,type,entry_price,stop_loss,risk,tokyo_high,tokyo_low,tokyo_eq,sweep_extreme,tokyo_reference,sweep_depth,entry_datetime,outcome,profit_points
2024-09-10,long,19450.866915,19443.832336,7.034578999999212,19535.935102,19426.338052,19481.136576999997,19418.770636,19426.338052,7.5674159999980475,2024-09-10 01:35:00,loss,-7.034578999999212
2024-09-12,short,20159.85545,20162.714904,2.8594540000012785,20171.076101,20076.091991,20123.584046,20189.603221,20171.076101,18.52712000000247,2024-09-12 01:25:00,loss,-2.8594540000012785
2024-09-13,short,20288.240566,20290.056238,1.8156720000006317,20326.338588,20270.496282,20298.417435,20328.948042,20326.338588,2.6094540000012785,2024-09-13 01:15:00,loss,-1.8156720000006317
2024-09-16,long,20357.13014,20345.65949,11.470650000002934,20399.925179,20349.82367,20374.8744245,20334.427894,20349.82367,15.395776000001206,2024-09-16 02:20:00,win,11.470650000002934
2024-09-17,short,20353.542762,20359.724033,6.1812709999976505,20302.07067,20252.751997,20277.4113335,20373.915388,20302.07067,71.84471800000028,2024-09-17 03:25:00,loss,-6.1812709999976505
2024-09-18,short,20326.980984,20339.093525,12.1125409999986,20337.038356,20291.393358,20314.215857000003,20348.643016,20337.038356,11.604660000000877,2024-09-18 02:20:00,win,12.1125409999986
2024-09-19,short,20530.449362,20531.473006,1.023644000000786,20498.987838,20298.356155,20398.6719965,20573.257665,20498.987838,74.26982700000008,2024-09-19 02:15:00,loss,-1.023644000000786
2024-09-20,long,20692.656726,20682.865116,9.791610000000219,20703.229861,20651.911474,20677.5706675,20637.985881,20651.911474,13.925592999999935,2024-09-20 02:40:00,win,9.791610000000219
2024-09-23,long,20666.094948,20633.094017,33.00093100000231,20799.677483,20687.499099,20743.588291,20584.346562,20687.499099,103.15253700000176,2024-09-23 02:35:00,win,33.00093100000231
2024-09-24,short,20732.886215,20741.130537,8.244322000002285,20729.275876,20653.716643,20691.4962595,20815.408244,20729.275876,86.13236799999868,2024-09-24 02:30:00,loss,-8.244322000002285
2024-09-25,long,20742.685706,20737.020198,5.665508000001864,20819.276465,20743.201469,20781.238966999998,20696.782827,20743.201469,46.418642000000546,2024-09-25 02:30:00,loss,-5.665508000001864
2024-09-26,short,21121.771278,21133.110176,11.338897999998153,21023.518487,20915.208324,20969.3634055,21146.012124,21023.518487,122.49363699999958,2024-09-26 03:15:00,win,11.338897999998153
2024-09-27,long,20932.228492,20922.436883,9.79160899999988,20991.799082,20918.818662,20955.308872,20872.915784,20918.818662,45.90287800000078,2024-09-27 02:10:00,loss,-9.79160899999988
2024-09-30,long,20809.992736,20805.358753,4.633982999999716,20926.555103,20788.846466,20857.700784499997,20781.110026,20788.846466,7.736440000000584,2024-09-30 01:45:00,win,4.633982999999716
2024-10-01,long,20912.113748,20909.027053,3.0866949999981443,20972.715863,20859.505954,20916.1109085,20852.285276,20859.505954,7.220678000001499,2024-10-01 01:40:00,win,3.0866949999981443
2024-10-02,long,20557.01114,20527.87843,29.132709999998042,20626.381221,20537.927921,20582.154571,20518.071058,20537.927921,19.856862999997247,2024-10-02 01:50:00,loss,-29.132709999998042
2024-10-03,long,20581.251986,20579.454698,1.797287999997934,20687.75698,20563.458174,20625.607577,20477.841568,20563.458174,85.61660599999959,2024-10-03 01:15:00,loss,-1.797287999997934
2024-10-07,long,20836.296633,20812.32155,23.975083000001177,20902.572138,20838.101802,20870.33697,20746.038164,20838.101802,92.06363799999963,2024-10-07 01:40:00,loss,-23.975083000001177
2024-10-08,long,20609.103171,20597.248511,11.854659999997239,20662.226728,20584.088681,20623.1577045,20571.194614,20584.088681,12.894067000001087,2024-10-08 01:40:00,loss,-11.854659999997239
2024-10-09,long,20867.500275,20863.124174,4.376100999998016,20928.876035,20860.279598,20894.5778165,20832.686294,20860.279598,27.593304000001808,2024-10-09 01:50:00,loss,-4.376100999998016
2024-10-10,long,21091.599161,21087.22306,4.376100999998016,21119.450346,21079.994501,21099.722423500003,21049.04874,21079.994501,30.945761000002676,2024-10-10 01:55:00,loss,-4.376100999998016
2024-10-11,long,21050.853909,21048.540859,2.3130500000006577,21113.519075,21076.899925,21095.2095,20995.667302,21076.899925,81.23262299999988,2024-10-11 02:50:00,win,2.3130500000006577
2024-10-14,short,21076.642043,21078.697213,2.0551699999996345,21076.642043,21025.839419,21051.240730999998,21129.507718,21076.642043,52.86567500000092,2024-10-14 02:10:00,loss,-2.0551699999996345
2024-10-15,long,21261.285084,21257.166864,4.118220000000292,21287.846862,21239.107289,21263.4770755,21211.771866,21239.107289,27.335423000000446,2024-10-15 01:20:00,loss,-4.118220000000292
2024-10-16,long,21030.739165,21018.626623,12.112541999998939,21038.733486,20981.74171,21010.237598,20970.910693,20981.74171,10.831016999996791,2024-10-16 02:45:00,loss,-12.112541999998939
2024-10-21,long,21094.951619,21085.675772,9.275847000000795,21170.510852,21110.424499,21140.4676755,21068.905603,21110.424499,41.518896000001405,2024-10-21 02:10:00,loss,-9.275847000000795
