entry_time,entry_price,direction,stop_loss,take_profit,session,fvg_created_at,entry_index,outcome,exit_time,exit_price,pnl
2020-04-12 01:11:00,14304.574013,SHORT,14306.861784,14302.286241999998,London,2020-04-12 01:04:00,795650,Loss,2020-04-12 01:14:00,14306.861784,-2.2877710000011575
2020-04-12 08:37:00,14264.823992,LONG,14253.385137,14276.262847,New York,2020-04-12 08:35:00,796096,Loss,2020-04-12 08:41:00,14253.385137,-11.43885500000033
2020-04-13 01:15:00,9268.212074,SHORT,9272.77629,9263.647857999998,London,2020-04-13 01:11:00,796599,Loss,2020-04-13 01:20:00,9272.77629,-4.56421600000067
2020-04-13 08:41:00,9380.320641,SHORT,9397.151189,9363.490093,New York,2020-04-13 08:39:00,797045,Win,2020-04-13 08:42:00,9363.490093,16.830547999999908
2020-04-14 01:04:00,9645.33046,LONG,9637.628344,9653.032575999998,London,2020-04-14 01:01:00,797953,Win,2020-04-14 01:07:00,9653.032575999998,7.702115999998568
2020-04-14 08:34:00,9706.091591,LONG,9682.985245,9729.197937,New York,2020-04-14 08:31:00,798403,Win,2020-04-14 08:43:00,9729.197937,23.106346000000485
2020-04-15 01:12:00,9869.26233,SHORT,9873.541283,9864.983376999999,London,2020-04-15 01:10:00,799326,Win,2020-04-15 01:13:00,9864.983376999999,4.278953000000911
2020-04-15 08:48:00,9702.097902,LONG,9691.828415,9712.367389,New York,2020-04-15 08:46:00,799782,Win,2020-04-15 08:51:00,9712.367389,10.269486999999572
2020-04-16 01:10:00,9832.748598,LONG,9821.052794,9844.444402000001,London,2020-04-16 01:01:00,800689,Win,2020-04-16 01:24:00,9844.444402000001,11.695804000000862
2020-04-16 08:41:00,9895.791838,LONG,9886.948669,9904.635006999999,New York,2020-04-16 08:36:00,801140,Loss,2020-04-16 08:42:00,9886.948669,-8.843168999999762
2020-04-17 01:11:00,10172.497462,LONG,10166.506928,10178.487995999998,London,2020-04-17 01:07:00,802055,Loss,2020-04-17 01:14:00,10166.506928,-5.990533999998661
2020-04-17 08:43:00,10024.730954,LONG,10004.19198,10045.269928000002,New York,2020-04-17 08:42:00,802507,Win,2020-04-17 08:45:00,10045.269928000002,20.538974000000962
2020-04-20 01:09:00,10009.611987,LONG,10006.188824,10013.03515,London,2020-04-20 01:03:00,803418,Win,2020-04-20 01:10:00,10013.03515,3.4231629999994766
2020-04-20 08:42:00,9989.928803,SHORT,10001.339344,9978.518262000001,New York,2020-04-20 08:37:00,803871,Win,2020-04-20 08:44:00,9978.518262000001,11.410540999999284
2020-04-21 01:05:00,9899.215001,LONG,9894.365521,9904.064481000001,London,2020-04-21 01:04:00,804779,Loss,2020-04-21 01:06:00,9894.365521,-4.849480000000767
2020-04-21 08:33:00,9841.306504,SHORT,9856.425471,9826.187537,New York,2020-04-21 08:32:00,805227,Win,2020-04-21 08:34:00,9826.187537,15.118967000000339
2020-04-22 01:13:00,9692.398942,LONG,9689.261043,9695.536841,London,2020-04-22 01:01:00,806152,Win,2020-04-22 01:14:00,9695.536841,3.137898999999379
2020-04-22 08:35:00,9790.529596,LONG,9755.727445,9825.331747,New York,2020-04-22 08:32:00,806594,Loss,2020-04-22 08:47:00,9755.727445,-34.80215099999987
2020-04-23 01:03:00,9855.854944,LONG,9842.447558,9869.262330000001,London,2020-04-23 01:01:00,807507,Win,2020-04-23 01:06:00,9869.262330000001,13.40738600000077
2020-04-23 08:39:00,9960.261396,SHORT,9976.236154,9944.286638,New York,2020-04-23 08:37:00,807963,Win,2020-04-23 08:54:00,9944.286638,15.974758000000293
2020-04-24 01:09:00,9721.781085,LONG,9719.498977,9724.063193000002,London,2020-04-24 01:07:00,808878,Win,2020-04-24 01:10:00,9724.063193000002,2.2821080000012444
2020-04-24 08:32:00,9868.40654,SHORT,9880.958135,9855.854945,New York,2020-04-24 08:31:00,809321,Win,2020-04-24 08:34:00,9855.854945,12.551595000000816
2020-04-27 01:05:00,10131.990041,LONG,10119.153182,10144.826899999998,London,2020-04-27 01:03:00,810239,Loss,2020-04-27 01:09:00,10119.153182,-12.836858999999095
2020-04-27 08:42:00,10095.476309,LONG,10077.78997,10113.162648,New York,2020-04-27 08:35:00,810696,Loss,2020-04-27 08:44:00,10077.78997,-17.68633899999986
2020-04-28 01:03:00,10070.087855,LONG,10064.382584,10075.793125999999,London,2020-04-28 01:01:00,811602,Win,2020-04-28 01:05:00,10075.793125999999,5.705270999998902
2020-04-28 08:53:00,10113.447911,LONG,10107.457377,10119.438444999998,New York,2020-04-28 08:48:00,812072,Loss,2020-04-28 08:54:00,10107.457377,-5.990533999998661
2020-04-29 01:19:00,10055.539415,LONG,10052.68678,10058.392049999999,London,2020-04-29 01:13:00,812983,Win,2020-04-29 01:20:00,10058.392049999999,2.8526349999992817
2020-04-29 08:40:00,10090.056302,LONG,10076.078389,10104.034215000001,New York,2020-04-29 08:38:00,813424,Win,2020-04-29 08:42:00,10104.034215000001,13.977913000000626
2020-04-30 01:04:00,10396.714596,LONG,10387.871427,10405.557765,London,2020-04-30 01:03:00,814333,Loss,2020-04-30 01:06:00,10387.871427,-8.843168999999762
2020-04-30 08:41:00,10228.409114,LONG,10206.729086,10250.089142,New York,2020-04-30 08:37:00,814790,Win,2020-04-30 08:46:00,10250.089142,21.680028000000675
2020-05-02 01:05:00,10648.70162,SHORT,10651.83686,10645.56638,London,2020-05-02 01:04:00,816119,Win,2020-05-02 01:06:00,10645.56638,3.1352399999996123
2020-05-02 08:46:00,10711.69145,LONG,10697.725379,10725.657521000001,New York,2020-05-02 08:42:00,816580,Win,2020-05-02 08:48:00,10725.657521000001,13.966071000000738
2020-05-03 01:20:00,10063.551746,LONG,10056.141178,10070.962313999999,London,2020-05-03 01:11:00,817499,Loss,2020-05-03 01:26:00,10056.141178,-7.41056799999933
2020-05-03 08:40:00,9986.880867,SHORT,10002.272047,9971.489687,New York,2020-05-03 08:37:00,817939,Loss,2020-05-03 08:42:00,10002.272047,-15.391180000000531
2020-05-05 01:02:00,10115.444756,LONG,10102.322634,10128.566878000001,London,2020-05-05 01:01:00,819266,Loss,2020-05-05 01:33:00,10102.322634,-13.122122000000672
2020-05-05 09:05:00,10219.851208,SHORT,10230.120695,10209.581721,New York,2020-05-05 09:01:00,819749,Loss,2020-05-05 09:09:00,10230.120695,-10.269486999999572
2020-05-06 01:03:00,11046.259653,SHORT,11051.394396,11041.124909999999,London,2020-05-06 01:01:00,820632,Win,2020-05-06 01:09:00,11041.124909999999,5.134743000000526
2020-05-06 09:07:00,11138.114509,SHORT,11148.954524,11127.274494000001,New York,2020-05-06 09:06:00,821116,Win,2020-05-06 09:09:00,11127.274494000001,10.840014999999767
2020-05-08 01:11:00,12682.983602,SHORT,12684.697518,12681.269686,London,2020-05-08 01:05:00,822005,Win,2020-05-08 01:13:00,12681.269686,1.7139160000006086
2020-05-08 08:35:00,12667.272699,LONG,12645.277434,12689.267963999999,New York,2020-05-08 08:32:00,822449,Loss,2020-05-08 08:40:00,12645.277434,-21.995264999999563
2020-05-10 01:09:00,12928.765741,SHORT,12932.483369,12925.048112999999,London,2020-05-10 01:06:00,823367,Win,2020-05-10 01:10:00,12925.048112999999,3.7176280000003317
2020-05-10 08:35:00,12965.942019,SHORT,12980.81253,12951.071508,New York,2020-05-10 08:32:00,823813,Loss,2020-05-10 08:38:00,12980.81253,-14.87051099999917
2020-05-11 01:10:00,13670.289509,LONG,13655.418998,13685.160020000001,London,2020-05-11 01:09:00,824733,Win,2020-05-11 01:18:00,13685.160020000001,14.870511000000988
2020-05-11 08:34:00,13722.050327,LONG,13695.45499,13748.645664000001,New York,2020-05-11 08:33:00,825177,Win,2020-05-11 08:37:00,13748.645664000001,26.595337000000654
2020-05-13 01:07:00,10380.454575,SHORT,10384.448264,10376.460885999999,London,2020-05-13 01:04:00,826095,Loss,2020-05-13 01:08:00,10384.448264,-3.9936890000008134
2020-05-13 08:38:00,10358.774547,LONG,10346.222952,10371.326142000002,New York,2020-05-13 08:36:00,826546,Win,2020-05-13 08:40:00,10371.326142000002,12.551595000000816
2020-05-14 01:10:00,10224.415424,LONG,10220.136471,10228.694377000002,London,2020-05-14 01:03:00,827463,Win,2020-05-14 01:11:00,10228.694377000002,4.278953000000911
2020-05-14 08:33:00,10187.616429,SHORT,10203.305923,10171.926935,New York,2020-05-14 08:31:00,827906,Loss,2020-05-14 08:34:00,10203.305923,-15.689494000000195
2020-05-15 01:02:00,10373.037723,LONG,10367.90298,10378.172465999998,London,2020-05-15 01:01:00,828820,Win,2020-05-15 01:03:00,10378.172465999998,5.134742999998707
2020-05-15 08:34:00,10232.402803,SHORT,10259.502839,10205.302767000001,New York,2020-05-15 08:33:00,829272,Win,2020-05-15 08:36:00,10205.302767000001,27.100035999999818
2020-05-18 01:06:00,10474.59154,SHORT,10480.011547,10469.171532999999,London,2020-05-18 01:05:00,830189,Loss,2020-05-18 01:08:00,10480.011547,-5.4200070000006235
2020-05-18 08:38:00,10569.299032,SHORT,10590.97906,10547.619004000002,New York,2020-05-18 08:36:00,830641,Loss,2020-05-18 08:42:00,10590.97906,-21.680027999998856
2020-05-19 01:02:00,10647.461239,LONG,10636.050698,10658.871780000001,London,2020-05-19 01:01:00,831550,Win,2020-05-19 01:03:00,10658.871780000001,11.410541000001103
2020-05-19 08:34:00,10650.599138,SHORT,10668.000213,10633.198063,New York,2020-05-19 08:33:00,832002,Loss,2020-05-19 08:37:00,10668.000213,-17.401074999999764
2020-05-20 01:02:00,10649.17282,SHORT,10655.733881,10642.611759,London,2020-05-20 01:01:00,832915,Loss,2020-05-20 01:04:00,10655.733881,-6.561061000000336
2020-05-20 09:17:00,10795.798274,SHORT,10805.782498,10785.81405,New York,2020-05-20 09:13:00,833410,Loss,2020-05-20 09:20:00,10805.782498,-9.984223999999813
2020-05-21 01:02:00,10780.679307,LONG,10769.839293,10791.519321,London,2020-05-21 01:01:00,834280,Loss,2020-05-21 01:10:00,10769.839293,-10.840013999999428
2020-05-21 08:45:00,10839.158331,SHORT,10850.283608,10828.033054000001,New York,2020-05-21 08:42:00,834743,Win,2020-05-21 08:50:00,10828.033054000001,11.125276999999187
2020-05-22 01:30:00,10604.671709,SHORT,10614.655933,10594.687485,London,2020-05-22 01:29:00,835673,Win,2020-05-22 01:36:00,10594.687485,9.984223999999813
2020-05-22 08:42:00,10653.737036,LONG,10643.182286,10664.291786000002,New York,2020-05-22 08:39:00,836105,Win,2020-05-22 08:43:00,10664.291786000002,10.55475000000115
2020-05-25 01:11:00,10803.215126,LONG,10799.221436,10807.208815999998,London,2020-05-25 01:09:00,837019,Win,2020-05-25 01:14:00,10807.208815999998,3.993689999999333
2020-05-25 08:44:00,10859.126778,SHORT,10861.408886,10856.84467,New York,2020-05-25 08:36:00,837472,Loss,2020-05-25 08:46:00,10861.408886,-2.2821079999994254
