direction,entry_datetime,entry_price,stop_loss,risk,fvg_type,fvg_top,fvg_bottom,tp_1,tp_1.5,tp_2,tp_2.5,exit_price,exit_datetime,exit_reason,pnl,rr_hit
LONG,2023-04-02 19:20:00,14704.53067,14695.346079,9.184590999999273,bearish,14572.884861,14572.049898,14713.715261,14718.3075565,14722.899851999999,14727.492147499997,14713.715261,2023-04-02 19:25:00,TP_1,9.184590999999273,1.0
LONG,2023-04-02 19:30:00,14722.06489,14695.346079,26.718810999998823,bearish,14229.715132,14222.200466,14748.783700999998,14762.143106499998,14775.502511999997,14788.861917499997,14695.346079,2023-04-03 07:05:00,STOP_LOSS,-26.718810999998823,0.0
SHORT,2023-04-03 07:10:00,14683.378278,14728.466271,45.08799299999919,bullish,14731.249481,14725.12642,14638.290285000001,14615.746288500002,14593.202292000002,14570.658295500001,14728.466271,2023-04-03 08:30:00,STOP_LOSS,-45.08799299999919,0.0
LONG,2023-04-03 08:35:00,14742.938961,14672.523761,70.41519999999946,bearish,14569.54501,14567.596763,14813.354161,14848.561760999999,14883.769360999999,14918.976960999998,14672.523761,2023-04-03 09:55:00,STOP_LOSS,-70.41519999999946,0.0
SHORT,2023-04-03 10:00:00,14671.967119,14771.327697,99.3605779999998,bullish,14722.06489,14716.776792,14572.606541000001,14522.926252000001,14473.245963000001,14423.565674000001,14771.327697,2023-04-03 14:55:00,STOP_LOSS,-99.3605779999998,0.0
LONG,2023-04-03 15:05:00,14772.440981,14668.070626,104.37035499999911,bearish,14567.596763,14566.205158,14876.811335999999,14928.996513499998,14981.181690999998,15033.366868499998,14668.070626,2023-04-04 14:45:00,STOP_LOSS,-104.37035499999911,0.0
LONG,2023-04-04 14:55:00,14721.508248,14659.999318,61.508929999999964,bearish,14711.210373,14709.262126,14783.017178,14813.771643,14844.526108,14875.280573,14659.999318,2023-04-05 08:30:00,STOP_LOSS,-61.508929999999964,0.0
SHORT,2023-04-05 08:35:00,14642.186777,14735.424295,93.23751799999991,bullish,14749.896984,14744.052245,14548.949259,14502.3305,14455.711741000001,14409.092982000002,14548.949259,2023-04-05 09:40:00,TP_1,93.23751799999991,1.0
SHORT,2023-04-05 09:50:00,14520.838844,14697.572646,176.73380200000065,bullish,14759.916539,14753.515157,14344.105042,14255.738140999998,14167.371239999999,14079.004339,14697.572646,2023-04-09 17:15:00,STOP_LOSS,-176.73380200000065,0.0
LONG,2023-04-09 17:30:00,14685.883166,14608.509943,77.37322300000051,bearish,14656.381146,14656.102825,14763.256389,14801.9430005,14840.629612,14879.316223500002,14608.509943,2023-04-10 01:00:00,STOP_LOSS,-77.37322300000051,0.0
SHORT,2023-04-10 01:05:00,14604.056807,14630.218977,26.162169999999605,bullish,14647.753196,14647.474875,14577.894637000001,14564.813552000001,14551.732467000002,14538.651382000002,14630.218977,2023-04-10 03:10:00,STOP_LOSS,-26.162169999999605,0.0
SHORT,2023-04-10 03:15:00,14628.827372,14631.33226,2.5048879999994824,bullish,14651.371369,14649.979764,14626.322484,14625.07004,14623.817596,14622.565152000001,14622.565152000001,2023-04-10 03:20:00,TP_2.5,6.262219999998706,2.5
SHORT,2023-04-10 03:25:00,14619.642781,14631.33226,11.689478999998755,bullish,14652.762973,14652.206332,14607.953302000002,14602.108562500001,14596.263823000003,14590.419083500004,14631.33226,2023-04-10 04:05:00,STOP_LOSS,-11.689478999998755,0.0
LONG,2023-04-10 04:10:00,14643.578382,14604.89177,38.68661199999951,bearish,14626.600804,14623.260953,14682.264994,14701.6083,14720.951605999999,14740.294911999998,14604.89177,2023-04-10 06:25:00,STOP_LOSS,-38.68661199999951,0.0
SHORT,2023-04-10 06:30:00,14578.729601,14657.216109,78.48650800000178,bullish,14654.432899,14653.597936,14500.243092999997,14460.999838999996,14421.756584999996,14382.513330999995,14500.243092999997,2023-04-10 08:30:00,TP_1,78.48650800000178,1.0
SHORT,2023-04-10 08:35:00,14480.482306,14596.542142,116.05983600000036,bullish,14656.102825,14654.989541,14364.42247,14306.392552,14248.362634,14190.332715999999,14596.542142,2023-04-10 11:45:00,STOP_LOSS,-116.05983600000036,0.0
SHORT,2023-04-10 11:50:00,14589.584118,14603.778487,14.194368999998915,bullish,14660.55596,14657.49443,14575.389749000002,14568.292564500003,14561.195380000003,14554.098195500002,14603.778487,2023-04-10 12:00:00,STOP_LOSS,-14.194368999998915,0.0
SHORT,2023-04-10 12:15:00,14609.623226,14617.972855,8.349629000000277,bullish,14662.504207,14661.947565,14601.273597,14597.0987825,14592.923968,14588.749153499999,14617.972855,2023-04-10 12:20:00,STOP_LOSS,-8.349629000000277,0.0
SHORT,2023-04-10 12:30:00,14619.642781,14624.652558,5.009776999999303,bullish,14652.484652,14652.206332,14614.633004000001,14612.128115500002,14609.623227000002,14607.118338500002,14609.623227000002,2023-04-10 12:35:00,TP_2,10.019553999998607,2.0
SHORT,2023-04-10 12:40:00,14606.561696,14626.322483,19.760786999999254,bullish,14656.937788,14655.267862,14586.800909000001,14576.920515500002,14567.040122000002,14557.159728500003,14626.322483,2023-04-10 13:05:00,STOP_LOSS,-19.760786999999254,0.0
LONG,2023-04-10 13:10:00,14626.322483,14523.343732,102.97875100000056,bearish,14477.420776,14473.524283,14729.301234,14780.7906095,14832.279985000001,14883.769360500002,14523.343732,2023-04-12 02:30:00,STOP_LOSS,-102.97875100000056,0.0
