Date,Direction,Entry_Time,Entry_Price,Asian_High,Asian_Low,Asian_Mid,SL_Level,SL_Distance,Exit_Time,Exit_Price,Exit_Type,PnL_Points,Result
2024-07-10,LONG,2024-07-10 03:00:00,21631.326319,21624.280794,21600.534767,21612.407780499998,21612.407780499998,18.918538500001887,2024-07-10 07:00:00,21672.29474,TIME_EXIT,40.9684210000014,WIN
2024-07-15,LONG,2024-07-15 01:00:00,21509.725782,21493.02528,21428.049886,21460.537583,21460.537583,49.18819900000017,2024-07-15 07:00:00,21535.559373,TIME_EXIT,25.833590999998705,WIN
2024-07-16,SHORT,2024-07-16 02:00:00,21467.71358,21559.3054,21521.729269,21540.5173345,21540.5173345,72.80375450000065,2024-07-16 06:00:00,21540.5173345,STOP_LOSS,-72.80375450000065,LOSS
2024-07-17,SHORT,2024-07-17 01:00:00,21388.647137,21491.720553,21415.002618,21453.3615855,21453.3615855,64.71444849999898,2024-07-17 07:00:00,21191.372447,TIME_EXIT,197.27468999999837,WIN
2024-07-23,SHORT,2024-07-23 01:00:00,20778.035001,20863.103188,20783.253908,20823.178548,20823.178548,45.14354699999967,2024-07-23 04:15:00,20823.178548,STOP_LOSS,-45.14354699999967,LOSS
2024-07-24,SHORT,2024-07-24 02:45:00,20579.71653,20706.796919,20584.674492,20645.7357055,20645.7357055,66.0191754999978,2024-07-24 07:00:00,20538.226218,TIME_EXIT,41.49031200000172,WIN
2024-07-26,LONG,2024-07-26 02:00:00,19963.363597,19944.05364,19826.628229,19885.3409345,19885.3409345,78.02266249999957,2024-07-26 07:00:00,20051.041236,TIME_EXIT,87.67763900000136,WIN
2024-07-30,LONG,2024-07-30 02:30:00,20084.442242,20057.825816,19911.174525,19984.5001705,19984.5001705,99.94207150000148,2024-07-30 07:00:00,20116.01663,TIME_EXIT,31.57438799999727,WIN
2024-07-31,LONG,2024-07-31 01:00:00,20038.776805,19986.326788,19797.402349,19891.8645685,19891.8645685,146.9122365000003,2024-07-31 07:00:00,20095.401947,TIME_EXIT,56.62514199999714,WIN
2024-08-01,SHORT,2024-08-01 01:15:00,20474.816496,20580.238421,20477.686895,20528.962657999997,20528.962657999997,54.146161999997275,2024-08-01 07:00:00,20454.984649,TIME_EXIT,19.83184699999765,WIN
