date,time,setup_type,candle_830_open,candle_830_high,candle_830_low,candle_830_close,next_candle_open,next_candle_high,next_candle_low,next_candle_close,prev5_max_high,prev5_min_low,year
2019-11-26,08:30:00,bearish_830_to_bullish_breakout,9581.474613,9589.192388,9571.184247,9574.900212,9574.614369,9592.908354,9568.611655,9588.620701,9586.619796,9574.614369,2019
2019-11-29,08:30:00,bearish_830_to_bullish_breakout,9638.071629,9642.073438,9628.924637,9635.784881,9635.499037,9648.933683,9629.21048,9647.790309,9645.789404,9635.499037,2019
2019-12-04,08:30:00,bearish_830_to_bullish_breakout,9491.148063,9510.585422,9475.712513,9490.862219,9490.576376,9510.299578,9488.861314,9504.011021,9500.009211,9469.423955,2019
2019-12-11,08:30:00,bearish_830_to_bullish_breakout,9577.472804,9578.330335,9562.608941,9576.32943,9576.32943,9592.336667,9574.042682,9592.050823,9590.049919,9575.186056,2019
2020-02-04,08:30:00,bearish_830_to_bullish_breakout,10554.929429,10568.325456,10519.586719,10547.233839,10547.233839,10575.451003,10547.233839,10563.765106,10562.339997,10538.113139,2020
2020-03-11,08:30:00,bearish_830_to_bullish_breakout,9307.388758,9367.813392,9266.915655,9299.123124,9300.263212,9329.905485,9273.186135,9325.630157,9314.799327,9201.645649,2020
2020-03-19,08:30:00,bearish_830_to_bullish_breakout,8189.630668,8206.461217,7998.789367,8041.293633,8041.578897,8253.814963,8021.039923,8244.68653,8213.307541,8032.450464,2020
2020-03-30,08:30:00,bearish_830_to_bullish_breakout,8742.186125,8800.379885,8706.24292,8740.474544,8738.477699,8792.392506,8715.94188,8770.712478,8767.859843,8659.459702,2020
2020-04-06,08:30:00,bearish_830_to_bullish_breakout,8897.940012,8913.058979,8843.169415,8878.256829,8878.256829,8964.691678,8878.256829,8958.986408,8922.187412,8877.686302,2020
2020-04-08,08:30:00,bullish_830_to_bearish_breakdown,9260.509958,9304.440542,9243.67941,9274.202608,9274.487871,9284.472095,9201.745671,9210.303577,9287.039466,9220.287801,2020
2020-04-13,08:30:00,bullish_830_to_bearish_breakdown,9344.092172,9406.279622,9330.684787,9352.650078,9352.650078,9360.06693,9312.998448,9322.412144,9379.750114,9338.672165,2020
2020-05-18,08:30:00,bullish_830_to_bearish_breakdown,10576.145356,10597.540121,10550.756902,10588.982215,10589.267479,10608.380135,10539.346361,10567.302187,10606.098027,10568.157977,2020
2020-05-22,08:30:00,bearish_830_to_bullish_breakout,10678.2697,10689.965505,10634.339116,10653.737036,10653.451773,10724.482392,10647.461239,10718.777121,10693.388667,10655.733881,2020
2020-05-25,08:30:00,bearish_830_to_bullish_breakout,10860.553095,10869.681528,10855.703615,10859.126778,10859.697305,10871.678373,10857.985723,10866.543629,10865.117312,10840.584648,2020
2020-06-17,08:30:00,bullish_830_to_bearish_breakdown,11429.253533,11443.821825,11398.403033,11439.822686,11439.822686,11446.678353,11383.834741,11405.2587,11448.963576,11419.255686,2020
2020-06-22,08:30:00,bearish_830_to_bullish_breakout,11415.827853,11432.395714,11398.403033,11414.399589,11413.828283,11450.391839,11406.401311,11450.391839,11448.39227,11415.256547,2020
2020-06-24,08:30:00,bullish_830_to_bearish_breakdown,11617.213065,11679.199719,11611.214357,11659.204024,11659.489677,11660.346636,11526.661133,11536.373327,11636.351802,11599.788245,2020
2020-07-20,08:30:00,bearish_830_to_bullish_breakout,12179.377744,12208.514328,12118.248048,12144.242451,12143.956799,12220.226092,12133.101993,12205.086494,12201.087355,12163.095535,2020
2020-08-06,08:30:00,bearish_830_to_bullish_breakout,12681.555338,12706.121477,12661.559643,12680.127074,12680.698379,12704.40756,12652.133101,12703.550602,12699.551463,12647.562656,2020
2020-08-10,08:30:00,bullish_830_to_bearish_breakdown,12726.117172,12736.400672,12701.551033,12729.830658,12729.545005,12735.543714,12642.992212,12661.27399,12728.688047,12710.120616,2020
2020-08-14,08:30:00,bullish_830_to_bearish_breakdown,12786.961215,12804.95734,12748.683742,12792.959923,12792.959923,12793.531229,12723.546297,12766.679867,12817.24041,12775.535104,2020
2020-08-24,08:30:00,bullish_830_to_bearish_breakdown,13353.981991,13394.259033,13347.69763,13377.691172,13377.405519,13389.402936,13270.285725,13318.275393,13363.694185,13340.270657,2020
2020-10-19,08:30:00,bullish_830_to_bearish_breakdown,13623.104233,13664.570082,13607.661779,13659.708568,13659.99454,13670.003538,13579.922555,13582.782269,13637.688773,13604.802065,2020
2020-11-03,08:30:00,bearish_830_to_bullish_breakout,12748.031833,12758.040831,12698.558786,12741.740463,12741.454492,12812.375392,12731.159522,12810.087621,12764.618173,12726.298009,2020
2020-11-13,08:30:00,bullish_830_to_bearish_breakdown,13600.512494,13639.404601,13578.77867,13622.246319,13622.53229,13634.543088,13589.359611,13591.36141,13628.251717,13599.940551,2020
2020-11-18,08:30:00,bullish_830_to_bearish_breakdown,13680.012536,13713.471186,13661.424397,13699.458589,13699.458589,13706.607873,13627.679775,13644.266114,13722.62227,13668.573681,2020
2020-12-01,08:30:00,bearish_830_to_bullish_breakout,14157.012785,14166.44984,14108.969594,14153.009185,14153.009185,14178.746609,14148.433643,14173.599124,14171.025382,14139.854502,2020
2020-12-09,08:30:00,bearish_830_to_bullish_breakout,14448.417613,14449.84747,14398.944566,14436.692787,14436.692787,14460.428411,14430.973359,14454.13704,14452.707184,14435.548901,2020
2020-12-29,08:30:00,bullish_830_to_bearish_breakdown,14738.995175,14769.292332,14723.274952,14750.142242,14749.85642,14766.719932,14689.262106,14702.409929,14740.138464,14727.562286,2020
2020-12-31,08:30:00,bullish_830_to_bearish_breakdown,14681.544906,14699.837529,14661.537349,14682.688195,14682.688195,14690.119573,14659.822416,14671.82695,14695.836018,14677.543395,2020
2021-01-13,08:30:00,bearish_830_to_bullish_breakout,14736.136953,14767.291576,14707.840551,14712.127885,14712.127885,14800.446955,14711.842063,14764.719176,14740.710108,14669.540372,2021
2021-01-18,08:30:00,bearish_830_to_bullish_breakout,14634.384237,14642.101437,14616.091614,14626.381215,14626.381215,14650.10446,14625.80957,14646.388771,14643.816371,14625.237926,2021
