date,entry_time,direction,entry_price,stop_loss,take_profit,bias,swing_low,swing_high,ote_zone,risk,result,exit_time,exit_price,pnl,pnl_points
2022-04-06,2022-04-06 08:35:00+02:00,SHORT,16739.660171,16806.228307,16493.55371915,BEARISH,16558.964852,16801.228307,"(np.float64(16708.683667190002), np.float64(16750.35298145))",66.56813600000169,WIN,2022-04-06 15:15:00+02:00,16493.55371915,246.10645184999885,246.10645184999885
2022-04-07,2022-04-07 08:50:00+02:00,SHORT,16658.619323,16737.787449,16467.299920539997,BEARISH,16523.742151,16732.787449,"(np.float64(16652.932145164), np.float64(16688.88793642))",79.16812600000048,WIN,2022-04-07 12:50:00+02:00,16467.299920539997,191.31940246000158,191.31940246000158
2022-04-11,2022-04-11 08:55:00+02:00,SHORT,16240.242364,16315.115039,16011.53249037,BEARISH,16075.01067,16310.115039,"(np.float64(16220.305170042), np.float64(16260.74312151))",74.87267500000053,WIN,2022-04-11 20:50:00+02:00,16011.53249037,228.7098736299995,228.7098736299995
2022-04-12,2022-04-12 10:35:00+02:00,SHORT,16217.046927,16366.946818,15929.16577983,BEARISH,16021.174347,16361.946818,"(np.float64(16231.771734078), np.float64(16290.38459909))",149.89989100000093,WIN,2022-04-12 16:00:00+02:00,15929.16577983,287.88114716999917,287.88114716999917
2022-04-14,2022-04-14 09:00:00+02:00,LONG,16272.028704,16049.678867,16390.35693326,BULLISH,16054.678867,16318.992305,"(np.float64(16218.024571684), np.float64(16263.48648302))",222.34983699999975,LOSS,2022-04-14 12:40:00+02:00,16049.678867,-222.34983699999975,-222.34983699999975
2022-04-19,2022-04-19 11:20:00+02:00,LONG,16136.292442,15840.633569,16311.50962861,BULLISH,15845.633569,16212.465112,"(np.float64(16072.335462574), np.float64(16135.43048797))",295.6588730000003,WIN,2022-04-19 16:50:00+02:00,16311.50962861,175.21718660999977,175.21718660999977
2022-04-22,2022-04-22 09:55:00+02:00,SHORT,15718.201847,15790.497251,15497.4614669,BEARISH,15558.697421,15785.497251,"(np.float64(15698.859715940001), np.float64(15737.8692867))",72.29540400000042,WIN,2022-04-22 12:45:00+02:00,15497.4614669,220.74038010000004,220.74038010000004
2022-05-03,2022-05-03 09:55:00+02:00,LONG,15014.034193,14849.816131,15122.12206578,BULLISH,14854.816131,15065.293245,"(np.float64(14984.890987452), np.float64(15021.093051060001))",164.21806199999992,LOSS,2022-05-04 11:10:00+02:00,14849.816131,-164.21806199999992,-164.21806199999992
2022-05-04,2022-05-04 10:50:00+02:00,SHORT,14940.438794,15074.01597,14725.33690882,BEARISH,14798.402536,15069.01597,"(np.float64(14965.641638212), np.float64(15012.18714886))",133.5771760000007,LOSS,2022-05-04 14:55:00+02:00,15074.01597,-133.5771760000007,-133.5771760000007
2022-05-06,2022-05-06 08:25:00+02:00,SHORT,14597.661778,14775.338921,14223.72555906,BEARISH,14339.934699,14770.338921,"(np.float64(14605.924508196), np.float64(14679.95403438))",177.6771430000008,LOSS,2022-05-06 12:20:00+02:00,14775.338921,-177.6771430000008,-177.6771430000008
2022-05-09,2022-05-09 10:25:00+02:00,SHORT,14260.898394,14387.030122,13998.70977231,BEARISH,14080.203075,14382.030122,"(np.float64(14266.732190046), np.float64(14318.64644213))",126.1317280000003,WIN,2022-05-09 15:30:00+02:00,13998.70977231,262.1886216900002,262.1886216900002
2022-05-13,2022-05-13 11:05:00+02:00,LONG,14081.634892,13814.612362,14226.20832935,BULLISH,13819.612362,14139.766667,"(np.float64(14017.46772249), np.float64(14072.53426295))",267.0225300000002,WIN,2022-05-13 13:10:00+02:00,14226.20832935,144.57343734999995,144.57343734999995
2022-05-16,2022-05-16 08:25:00+02:00,SHORT,14116.857593,14224.375698,13913.51951901,BEARISH,13978.544061,14219.375698,"(np.float64(14127.378012666), np.float64(14168.80105423))",107.5181049999992,LOSS,2022-05-17 05:05:00+02:00,14224.375698,-107.5181049999992,-107.5181049999992
2022-05-17,2022-05-17 08:55:00+02:00,SHORT,14291.825644,14364.121048,14057.629046209999,BEARISH,14121.725771,14359.121048,"(np.float64(14268.436052186), np.float64(14309.26803983))",72.29540400000042,LOSS,2022-05-17 15:45:00+02:00,14364.121048,-72.29540400000042,-72.29540400000042
2022-05-18,2022-05-18 08:30:00+02:00,LONG,14248.298404,14038.262194,14376.75817039,BULLISH,14043.262194,14305.857451,"(np.float64(14205.546062826), np.float64(14250.71244703))",210.0362099999984,LOSS,2022-05-18 12:05:00+02:00,14038.262194,-210.0362099999984,-210.0362099999984
2022-05-19,2022-05-19 11:45:00+02:00,SHORT,13616.294332,13761.039682,13410.90589551,BEARISH,13484.280795,13756.039682,"(np.float64(13652.227787166), np.float64(13698.970315730001))",144.74535000000105,LOSS,2022-05-19 12:35:00+02:00,13761.039682,-144.74535000000105,-144.74535000000105
2022-05-20,2022-05-20 08:10:00+02:00,LONG,13792.980563,13504.480776,13933.169776219998,BULLISH,13509.480776,13843.094162,"(np.float64(13715.653848548), np.float64(13773.03535094))",288.49978699999883,LOSS,2022-05-20 12:05:00+02:00,13504.480776,-288.49978699999883,-288.49978699999883
2022-05-23,2022-05-23 08:40:00+02:00,LONG,13668.126112,13492.739876,13779.593072770002,BULLISH,13497.739876,13719.671527,"(np.float64(13634.893636318), np.float64(13673.06588029))",175.38623600000028,WIN,2022-05-23 13:00:00+02:00,13779.593072770002,111.4669607700016,111.4669607700016
2022-05-25,2022-05-25 10:40:00+02:00,SHORT,13540.121662,13670.262477,13289.943122229999,BEARISH,13369.735426,13665.262477,"(np.float64(13552.371143518), np.float64(13603.20179629))",130.14081500000066,LOSS,2022-05-25 15:25:00+02:00,13670.262477,-130.14081500000066,-130.14081500000066
2022-05-27,2022-05-27 10:50:00+02:00,LONG,14319.889259,14070.334897,14520.11742755,BULLISH,14075.334897,14425.557362,"(np.float64(14291.77238037), np.float64(14352.010644349999))",249.55436199999895,WIN,2022-05-27 16:55:00+02:00,14520.11742755,200.2281685500002,200.2281685500002
2022-05-31,2022-05-31 09:55:00+02:00,SHORT,14439.875533,14559.707265,14225.211784800002,BEARISH,14295.262005,14554.707265,"(np.float64(14455.59917568), np.float64(14500.2237604))",119.83173199999874,LOSS,2022-05-31 12:55:00+02:00,14559.707265,-119.83173199999874,-119.83173199999874
2022-06-02,2022-06-02 11:50:00+02:00,SHORT,14412.957371,14493.557314,14188.52004006,BEARISH,14252.307492,14488.557314,"(np.float64(14398.309881996), np.float64(14438.94485138))",80.59994299999926,LOSS,2022-06-02 12:10:00+02:00,14493.557314,-80.59994299999926,-80.59994299999926
2022-06-03,2022-06-03 09:00:00+02:00,LONG,14609.402678,14386.766478,14747.44702902,BULLISH,14391.766478,14671.829904,"(np.float64(14564.845675268), np.float64(14613.01658454))",222.63620000000083,LOSS,2022-06-03 12:00:00+02:00,14386.766478,-222.63620000000083,-222.63620000000083
2022-06-06,2022-06-06 11:10:00+02:00,LONG,14650.066284,14511.907293,14715.477416560001,BULLISH,14516.907293,14673.261721,"(np.float64(14613.534329504), np.float64(14640.42729112))",138.15899100000024,LOSS,2022-06-06 12:15:00+02:00,14511.907293,-138.15899100000024,-138.15899100000024
2022-06-08,2022-06-08 11:00:00+02:00,LONG,14618.279944,14459.216424,14690.42634496,BULLISH,14464.216424,14642.334472,"(np.float64(14574.293377664), np.float64(14604.92968192))",159.0635199999997,LOSS,2022-06-08 13:40:00+02:00,14459.216424,-159.0635199999997,-159.0635199999997
