Datetime,Open,High,Low,Close,Volume,Swing_High,Swing_Low,FVG_Bullish_Top,FVG_Bullish_Bottom,FVG_Bullish_Mean,FVG_Bearish_Top,FVG_Bearish_Bottom,FVG_Bearish_Mean,MSS_Bullish,MSS_Bearish,OB_Bullish_High,OB_Bullish_Low,OB_Bearish_High,OB_Bearish_Low
2024-03-05 08:45:00-05:00,19147.481684,19156.861793,19134.349532,19142.657628,18609,0.0,0.0,,,,19166.777907,19156.861793,19161.81985,0,0,,,,
2024-03-05 09:00:00-05:00,19142.925631,19171.065957,19126.309439,19127.381451,17723,19171.065957,0.0,,,,,,,0,0,,,,
2024-03-05 09:15:00-05:00,19127.649454,19143.193634,19119.877364,19126.309439,18582,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 09:30:00-05:00,19126.577442,19164.365879,19116.661327,19161.417845,19652,0.0,19116.661327,,,,,,,0,0,,,,
2024-03-05 09:45:00-05:00,19161.685848,19228.150618,19157.665802,19222.790556,46281,0.0,0.0,19157.665802,19143.193634,19150.429718,,,,0,0,,,,
2024-03-05 10:00:00-05:00,19223.058559,19267.011068,19220.378528,19258.434969,16950,19267.011068,0.0,19220.378528,19164.365879,19192.372203500003,,,,0,0,,,,
2024-03-05 10:15:00-05:00,19258.702972,19262.455015,19253.34291,19256.558947,2707,0.0,0.0,19253.34291,19228.150618,19240.746764,,,,0,0,,,,
2024-03-05 10:30:00-05:00,19256.82695,19263.259024,19250.930882,19262.723018,1784,0.0,19250.930882,,,,,,,0,0,,,,
2024-03-05 10:45:00-05:00,19262.187012,19283.895263,19261.919009,19278.267198,2858,19283.895263,0.0,,,,,,,0,0,,,,
2024-03-05 12:00:00-05:00,19275.85517,19280.411223,19251.198885,19255.486934,2249,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 12:15:00-05:00,19255.754937,19262.991021,19251.198885,19258.434969,1147,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 12:30:00-05:00,19258.702972,19261.115,19245.57082,19258.166965,1610,0.0,19245.57082,,,,,,,0,0,,,,
2024-03-05 12:45:00-05:00,19258.166965,19260.31099,19251.466888,19256.022941,868,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 13:00:00-05:00,19255.754937,19257.362956,19246.910835,19249.322863,1016,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 13:15:00-05:00,19249.05486,19254.682925,19245.302816,19254.682925,703,0.0,19245.302816,,,,,,,0,0,,,,
2024-03-05 13:30:00-05:00,19254.682925,19258.434969,19246.910835,19248.250851,1388,19258.434969,0.0,,,,,,,0,0,,,,
2024-03-05 13:45:00-05:00,19248.250851,19250.126872,19234.582692,19237.79873,1616,0.0,19234.582692,,,,,,,0,0,,,,
2024-03-05 14:00:00-05:00,19238.334736,19252.806903,19235.386702,19252.002894,1488,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 14:15:00-05:00,19252.002894,19260.042987,19249.322863,19253.074906,864,19260.042987,0.0,,,,,,,0,0,,,,
2024-03-05 14:30:00-05:00,19253.610913,19256.82695,19241.28277,19247.446841,1169,0.0,19241.28277,,,,,,,0,0,,,,
2024-03-05 14:45:00-05:00,19247.714844,19255.754937,19247.446841,19253.610913,554,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 15:00:00-05:00,19253.34291,19258.702972,19250.930882,19258.434969,495,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 15:15:00-05:00,19258.702972,19268.88709,19254.146919,19266.475062,1638,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 15:30:00-05:00,19266.475062,19271.567121,19265.671052,19268.351083,753,19271.567121,0.0,19265.671052,19258.702972,19262.187012000002,,,,0,0,,,,
2024-03-05 15:45:00-05:00,19268.619086,19268.88709,19260.578993,19261.651006,596,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 16:00:00-05:00,19261.651006,19264.063034,19260.042987,19261.383003,498,0.0,0.0,,,,19265.671052,19264.063034,19264.867043,0,0,,,,
2024-03-05 16:15:00-05:00,19261.383003,19269.959102,19256.82695,19267.815077,1065,0.0,19256.82695,,,,,,,0,0,,,,
2024-03-05 16:30:00-05:00,19267.547074,19273.175139,19267.547074,19270.763111,772,0.0,0.0,19267.547074,19264.063034,19265.805053999997,,,,0,0,,,,
2024-03-05 16:45:00-05:00,19271.835124,19283.359257,19271.835124,19277.731192,1442,19283.359257,0.0,19271.835124,19269.959102,19270.897113,,,,0,0,,,,
2024-03-05 17:00:00-05:00,19277.463189,19279.607214,19272.639133,19275.051161,641,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 17:15:00-05:00,19274.783158,19277.195186,19271.031114,19271.567121,454,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 17:30:00-05:00,19271.835124,19274.247152,19269.155093,19273.175139,527,0.0,19269.155093,,,,,,,0,0,,,,
2024-03-05 17:45:00-05:00,19272.907136,19277.731192,19271.299117,19276.391176,460,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 18:00:00-05:00,19276.391176,19282.019242,19275.051161,19279.875217,695,19282.019242,0.0,19275.051161,19274.247152,19274.6491565,,,,0,0,,,,
2024-03-05 18:15:00-05:00,19279.071207,19279.071207,19271.299117,19271.567121,606,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 18:30:00-05:00,19271.299117,19280.14322,19271.031114,19278.803204,501,19280.14322,19271.031114,,,,,,,0,0,,,,
2024-03-05 18:45:00-05:00,19278.803204,19278.803204,19271.835124,19276.65918,406,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 19:00:00-05:00,19276.65918,19279.071207,19261.651006,19268.08308,1129,19279.071207,19261.651006,,,,,,,0,0,,,,
2024-03-05 19:15:00-05:00,19268.351083,19274.247152,19265.403049,19267.547074,700,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 19:30:00-05:00,19267.815077,19280.14322,19267.547074,19277.463189,760,19280.14322,0.0,,,,,,,0,0,,,,
2024-03-05 19:45:00-05:00,19276.927183,19279.875217,19272.639133,19276.927183,493,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 20:00:00-05:00,19277.463189,19278.267198,19263.527027,19269.959102,1394,0.0,19263.527027,,,,,,,0,0,,,,
2024-03-05 20:15:00-05:00,19269.423096,19279.875217,19266.475062,19275.051161,958,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 20:30:00-05:00,19274.515155,19287.379304,19266.207059,19285.771285,1495,0.0,19266.207059,,,,,,,1,0,,,,
