strategy,direction,entry_datetime,entry_price,stop_loss,take_profit,exit_datetime,exit_price,pnl,outcome,fvg_timeframe
B: FVG Tap (5m),SHORT,2019-08-26 03:05:00,8649.414216,8669.414216,8609.414216,2019-08-26 03:15:00,8669.414216,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-26 03:15:00,8666.322156,8686.322156,8626.322156,2019-08-26 03:20:00,8686.322156,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-26 03:40:00,8704.436665,8724.436665,8664.436665,2019-08-26 04:30:00,8724.436665,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-26 03:45:00,8692.973655,8712.973655,8652.973655,2019-08-26 04:30:00,8712.973655,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-27 01:40:00,8686.955574,8706.955574,8646.955574,2019-08-27 04:00:00,8706.955574,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-27 01:45:00,8679.504618,8699.504618,8639.504618,2019-08-27 01:50:00,8699.504618,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-27 01:50:00,8689.248176,8709.248176,8649.248176,2019-08-27 04:00:00,8709.248176,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-27 01:55:00,8679.504618,8699.504618,8639.504618,2019-08-27 04:00:00,8699.504618,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-27 02:00:00,8662.023528,8682.023528,8622.023528,2019-08-27 03:00:00,8682.023528,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-27 02:10:00,8662.023528,8682.023528,8622.023528,2019-08-27 03:00:00,8682.023528,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-27 02:15:00,8653.139695,8673.139695,8613.139695,2019-08-27 02:45:00,8673.139695,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-27 02:15:00,8660.304076,8680.304076,8620.304076,2019-08-27 03:00:00,8680.304076,-20.0,LOSS,5m
B: FVG Tap (15m),SHORT,2019-08-27 02:30:00,8659.157775,8679.157775,8619.157775,2019-08-27 03:00:00,8679.157775,-20.0,LOSS,15m
B: FVG Tap (15m),SHORT,2019-08-27 03:00:00,8664.602705,8684.602705,8624.602705,2019-08-27 03:10:00,8684.602705,-20.0,LOSS,15m
B: FVG Tap (15m),SHORT,2019-08-27 03:30:00,8664.602705,8684.602705,8624.602705,2019-08-27 04:00:00,8684.602705,-20.0,LOSS,15m
B: FVG Tap (15m),SHORT,2019-08-27 03:35:00,8660.304076,8680.304076,8620.304076,2019-08-27 04:00:00,8680.304076,-20.0,LOSS,15m
B: FVG Tap (5m),SHORT,2019-08-28 01:00:00,8701.570912,8721.570912,8661.570912,2019-08-28 03:30:00,8661.570912,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-28 01:00:00,8702.717213,8722.717213,8662.717213,2019-08-28 03:30:00,8662.717213,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-28 01:10:00,8701.570912,8721.570912,8661.570912,2019-08-28 03:30:00,8661.570912,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-28 01:15:00,8698.991735,8718.991735,8658.991735,2019-08-28 03:30:00,8658.991735,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-28 01:20:00,8700.711186,8720.711186,8660.711186,2019-08-28 03:30:00,8660.711186,40.0,WIN,5m
