timeframe,year,date,time,setup_type,direction,sl_percentage,rr_ratio,entry_price,sl_price,tp_price,risk,body_size,outcome,exit_price,exit_time,pnl,bars_held
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,100,3.0,15835.409267,15815.973355,15893.717003000003,19.435912000000826,2.286577999999281,LOSS,15815.973355,2021-02-16 08:32:00,-19.435912000000826,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,100,3.5,15835.409267,15815.973355,15903.434959000004,19.435912000000826,2.286577999999281,LOSS,15815.973355,2021-02-16 08:32:00,-19.435912000000826,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,100,4.0,15835.409267,15815.973355,15913.152915000004,19.435912000000826,2.286577999999281,LOSS,15815.973355,2021-02-16 08:32:00,-19.435912000000826,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,100,4.5,15835.409267,15815.973355,15922.870871000005,19.435912000000826,2.286577999999281,LOSS,15815.973355,2021-02-16 08:32:00,-19.435912000000826,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,100,5.0,15835.409267,15815.973355,15932.588827000005,19.435912000000826,2.286577999999281,LOSS,15815.973355,2021-02-16 08:32:00,-19.435912000000826,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,25,1.0,14438.024362,14415.23003875,14460.81868525,22.79432325000016,3.144045000000915,LOSS,14415.23003875,2021-03-09 08:32:00,-22.79432325000016,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,25,1.5,14438.024362,14415.23003875,14472.215846875,22.79432325000016,3.144045000000915,LOSS,14415.23003875,2021-03-09 08:32:00,-22.79432325000016,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,25,2.0,14438.024362,14415.23003875,14483.6130085,22.79432325000016,3.144045000000915,LOSS,14415.23003875,2021-03-09 08:32:00,-22.79432325000016,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,25,2.5,14438.024362,14415.23003875,14495.010170125,22.79432325000016,3.144045000000915,LOSS,14415.23003875,2021-03-09 08:32:00,-22.79432325000016,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,25,3.0,14438.024362,14415.23003875,14506.40733175,22.79432325000016,3.144045000000915,LOSS,14415.23003875,2021-03-09 08:32:00,-22.79432325000016,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,25,3.5,14438.024362,14415.23003875,14517.804493375,22.79432325000016,3.144045000000915,LOSS,14415.23003875,2021-03-09 08:32:00,-22.79432325000016,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,25,4.0,14438.024362,14415.23003875,14529.201655,22.79432325000016,3.144045000000915,LOSS,14415.23003875,2021-03-09 08:32:00,-22.79432325000016,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,25,4.5,14438.024362,14415.23003875,14540.598816625,22.79432325000016,3.144045000000915,LOSS,14415.23003875,2021-03-09 08:32:00,-22.79432325000016,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,25,5.0,14438.024362,14415.23003875,14551.995978250001,22.79432325000016,3.144045000000915,LOSS,14415.23003875,2021-03-09 08:32:00,-22.79432325000016,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,50,1.0,14438.024362,14414.4440275,14461.6046965,23.58033450000039,3.144045000000915,LOSS,14414.4440275,2021-03-09 08:32:00,-23.58033450000039,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,50,1.5,14438.024362,14414.4440275,14473.39486375,23.58033450000039,3.144045000000915,LOSS,14414.4440275,2021-03-09 08:32:00,-23.58033450000039,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,50,2.0,14438.024362,14414.4440275,14485.185031,23.58033450000039,3.144045000000915,LOSS,14414.4440275,2021-03-09 08:32:00,-23.58033450000039,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,50,2.5,14438.024362,14414.4440275,14496.975198250002,23.58033450000039,3.144045000000915,LOSS,14414.4440275,2021-03-09 08:32:00,-23.58033450000039,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,50,3.0,14438.024362,14414.4440275,14508.765365500001,23.58033450000039,3.144045000000915,LOSS,14414.4440275,2021-03-09 08:32:00,-23.58033450000039,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,50,3.5,14438.024362,14414.4440275,14520.55553275,23.58033450000039,3.144045000000915,LOSS,14414.4440275,2021-03-09 08:32:00,-23.58033450000039,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,50,4.0,14438.024362,14414.4440275,14532.345700000002,23.58033450000039,3.144045000000915,LOSS,14414.4440275,2021-03-09 08:32:00,-23.58033450000039,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,50,4.5,14438.024362,14414.4440275,14544.135867250003,23.58033450000039,3.144045000000915,LOSS,14414.4440275,2021-03-09 08:32:00,-23.58033450000039,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,50,5.0,14438.024362,14414.4440275,14555.926034500002,23.58033450000039,3.144045000000915,LOSS,14414.4440275,2021-03-09 08:32:00,-23.58033450000039,2.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,75,1.0,14438.024362,14413.65801625,14462.39070775,24.36634575000062,3.144045000000915,LOSS,14413.65801625,2021-03-09 08:33:00,-24.36634575000062,3.0
