direction,sl_type,rr_ratio,smt_datetime,entry_datetime,entry_price,stop_loss,take_profit,risk,reward,exit_datetime,exit_price,pnl,outcome,variant
SHORT,entry_candle,1.5,2023-09-04 03:15:00,2023-09-04 03:30:00,17109.279612,17120.554532,17092.367231999997,11.274919999999838,16.912379999999757,2023-09-04 03:30:00,17120.554532,-11.274919999999838,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
LONG,entry_candle,1.5,2023-09-07 02:00:00,2023-09-07 02:05:00,16869.756297,16863.981338,16878.418735499996,5.774958999998489,8.662438499997734,2023-09-07 02:10:00,16863.981338,-5.774958999998489,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
LONG,entry_candle,1.5,2023-09-07 02:00:00,2023-09-07 02:05:00,16869.756297,16863.981338,16878.418735499996,5.774958999998489,8.662438499997734,2023-09-07 02:10:00,16863.981338,-5.774958999998489,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-09-08 03:00:00,2023-09-08 03:00:00,16833.456552,16862.606347,16789.731859499996,29.149795000001177,43.724692500001765,2023-09-08 03:15:00,16789.731859499996,43.724692500003584,WIN,SL: Entry Candle | TP: 1.5:1 R/R
LONG,entry_candle,1.5,2023-09-11 03:45:00,2023-09-12 01:00:00,17011.347496,17008.089241,17016.234878499992,3.258254999997007,4.88738249999551,2023-09-12 01:00:00,17008.089241,-3.258254999997007,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-09-12 01:30:00,2023-09-12 02:00:00,16992.069489,17028.181812,16937.901004500003,36.11232299999756,54.16848449999634,2023-09-13 01:00:00,16937.901004500003,54.16848449999816,WIN,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-09-12 01:30:00,2023-09-12 02:00:00,16992.069489,17028.181812,16937.901004500003,36.11232299999756,54.16848449999634,2023-09-13 01:00:00,16937.901004500003,54.16848449999816,WIN,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-09-14 01:30:00,2023-09-14 01:45:00,16959.486943,16966.546495,16948.897615,7.059551999998803,10.589327999998204,2023-09-14 01:45:00,16966.546495,-7.059551999998803,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
LONG,entry_candle,1.5,2023-09-20 02:00:00,2023-09-20 02:15:00,16705.614602,16686.879638,16733.717048000006,18.734964000002947,28.10244600000442,2023-09-20 02:15:00,16686.879638,-18.734964000002947,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-09-20 02:30:00,2023-09-20 03:00:00,16689.051807,16706.700687,16662.578487,17.648880000000645,26.473320000000967,2023-09-20 03:00:00,16706.700687,-17.648880000000645,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-09-20 02:30:00,2023-09-20 03:00:00,16689.051807,16706.700687,16662.578487,17.648880000000645,26.473320000000967,2023-09-20 03:00:00,16706.700687,-17.648880000000645,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-09-20 02:45:00,2023-09-20 03:00:00,16689.051807,16706.700687,16662.578487,17.648880000000645,26.473320000000967,2023-09-20 03:00:00,16706.700687,-17.648880000000645,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
LONG,entry_candle,1.5,2023-09-22 03:00:00,2023-09-22 03:15:00,16204.386429,16194.883186,16218.6412935,9.50324300000102,14.254864500001531,2023-09-22 03:25:00,16194.883186,-9.50324300000102,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-09-25 01:00:00,2023-09-25 01:15:00,16194.340144,16207.373163,16174.790615499998,13.033019000000422,19.549528500000633,2023-09-25 01:45:00,16207.373163,-13.033019000000422,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-09-25 02:15:00,2023-09-25 02:45:00,16208.459247,16219.320096,16192.167973500003,10.86084899999878,16.29127349999817,2023-09-25 02:45:00,16219.320096,-10.86084899999878,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-09-25 02:30:00,2023-09-25 02:45:00,16208.459247,16219.320096,16192.167973500003,10.86084899999878,16.29127349999817,2023-09-25 02:45:00,16219.320096,-10.86084899999878,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
LONG,entry_candle,1.5,2023-09-26 02:15:00,2023-09-26 02:30:00,16130.261136,16081.115795,16203.979147499998,49.14534099999946,73.71801149999919,2023-09-27 01:00:00,16081.115795,-49.14534099999946,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-09-26 03:15:00,2023-09-26 03:30:00,16132.161785,16151.982834,16102.4302115,19.82104900000013,29.731573500000195,2023-09-26 03:30:00,16151.982834,-19.82104900000013,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
LONG,entry_candle,1.5,2023-09-28 01:15:00,2023-09-28 01:30:00,16034.142624,16019.208957,16056.5431245,14.933666999999332,22.400500499998998,2023-09-28 01:45:00,16019.208957,-14.933666999999332,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-09-29 03:30:00,2023-09-29 03:45:00,16223.121393,16252.174164,16179.542236499998,29.052771000000575,43.57915650000086,2023-10-02 01:30:00,16252.174164,-29.052771000000575,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-10-04 02:15:00,2023-10-04 02:35:00,15864.984904,15879.918571,15842.584403500001,14.933666999999332,22.400500499998998,2023-10-04 02:40:00,15879.918571,-14.933666999999332,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-10-04 02:30:00,2023-10-04 02:35:00,15864.984904,15879.918571,15842.584403500001,14.933666999999332,22.400500499998998,2023-10-04 02:40:00,15879.918571,-14.933666999999332,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
