direction,smt_datetime,smt_idx,fvg_type,fvg_top,fvg_bottom,entry_datetime,entry_idx,entry_price,stop_loss,take_profit,risk,reward,exit_datetime,exit_price,pnl,outcome
SHORT,2025-03-13 03:45:00,89228,Bullish,20054.61703,20052.812839,2025-03-14 01:00:00,89232,20005.130641,20085.803765,19843.784392999998,80.67312400000083,161.34624800000165,2025-03-17 01:00:00,20085.803765,-80.67312400000083,LOSS
SHORT,2025-03-13 03:45:00,89229,Bullish,20054.61703,20052.812839,2025-03-14 01:00:00,89232,20005.130641,20098.433104,19818.525715,93.30246299999999,186.60492599999998,2025-03-17 01:00:00,20098.433104,-93.30246299999999,LOSS
SHORT,2025-03-18 03:30:00,89368,Bullish,20403.628381,20398.527857,2025-03-19 01:00:00,89376,20137.381,20441.372263,19529.398474,303.9912629999999,607.9825259999998,2025-03-20 01:00:00,20441.372263,-303.9912629999999,LOSS
LONG,2025-03-19 01:30:00,89384,Bearish,20128.455082,20125.904819,2025-03-19 01:30:00,89385,20133.555606,20113.153508,20174.359802000006,20.402098000002297,40.804196000004595,2025-03-19 02:00:00,20113.153508,-20.402098000002297,LOSS
SHORT,2025-03-21 02:00:00,89488,Bullish,20281.725845,20272.5449,2025-03-21 02:15:00,89492,20254.693064,20297.027418,20170.024355999994,42.33435400000235,84.6687080000047,2025-03-21 03:30:00,20170.024355999994,84.6687080000047,WIN
LONG,2025-03-21 03:30:00,89512,Bearish,20254.438038,20254.183012,2025-03-24 01:00:00,89520,20517.370079,20170.789435,21210.531367000003,346.5806440000015,693.161288000003,2025-03-31 01:00:00,20170.789435,-346.5806440000015,LOSS
LONG,2025-03-21 03:30:00,89513,Bearish,20254.438038,20254.183012,2025-03-24 01:00:00,89520,20517.370079,20161.353465,21229.403307,356.0166140000001,712.0332280000002,2025-03-31 01:00:00,20161.353465,-356.0166140000001,LOSS
LONG,2025-03-25 03:30:00,89608,Bearish,20732.102163,20727.256665,2025-03-26 01:00:00,89616,20869.306273,20700.988963,21205.940892999995,168.31730999999854,336.6346199999971,2025-03-27 01:00:00,20700.988963,-168.31730999999854,LOSS
SHORT,2025-03-27 03:45:00,89708,Bullish,20487.021958,20486.256879,2025-03-27 03:50:00,89710,20484.216669,20519.410289,20413.829429000005,35.19361999999819,70.38723999999638,2025-03-27 03:55:00,20519.410289,-35.19361999999819,LOSS
LONG,2025-03-31 01:30:00,89769,Bearish,19607.436498,19601.570895,2025-03-31 02:00:00,89777,19608.966656,19587.0344,19652.831168,21.932256000000052,43.864512000000104,2025-03-31 02:05:00,19587.0344,-21.932256000000052,LOSS
LONG,2025-03-31 01:45:00,89772,Bearish,19607.436498,19601.570895,2025-03-31 02:00:00,89777,19608.966656,19583.209007,19660.481954,25.75764899999922,51.51529799999844,2025-04-01 01:00:00,19660.481954,51.51529799999844,WIN
LONG,2025-03-31 01:45:00,89773,Bearish,19607.436498,19601.570895,2025-03-31 02:00:00,89777,19608.966656,19579.638639,19667.62269,29.328016999999818,58.656033999999636,2025-04-01 01:00:00,19667.62269,58.656033999999636,WIN
LONG,2025-03-31 03:30:00,89800,Bearish,19638.294672,19626.818492,2025-04-01 01:00:00,89808,19756.371815,19601.570895,20065.973654999994,154.80091999999786,309.6018399999957,2025-04-03 01:00:00,19601.570895,-154.80091999999786,LOSS
LONG,2025-03-31 03:45:00,89804,Bearish,19638.294672,19626.818492,2025-04-01 01:00:00,89808,19756.371815,19588.819584,20091.476276999994,167.55223099999785,335.1044619999957,2025-04-03 01:00:00,19588.819584,-167.55223099999785,LOSS
LONG,2025-04-01 02:45:00,89836,Bearish,19819.363294,19815.027848,2025-04-01 03:15:00,89844,19837.470156,19770.398258,19971.613951999996,67.07189799999833,134.14379599999666,2025-04-02 01:15:00,19971.613951999996,134.14379599999666,WIN
SHORT,2025-04-08 02:45:00,90077,Bullish,18206.067376,18193.571091,2025-04-08 03:00:00,90080,18142.565846,18242.791153,17942.115232000007,100.22530699999697,200.45061399999395,2025-04-08 03:00:00,18242.791153,-100.22530699999697,LOSS
